?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분
150,2024-01-15,직영점,A0086,부산구서점(직),4,정상,일반판매,AKL7KT016,J-글리배색반폴니트,GR,회색,F,판매
151,2024-01-15,직영점,A0086,부산구서점(직),4,정상,일반판매,AKL7KT016,J-글리배색반폴니트,BE,베이지,F,판매
152,2024-01-15,직영점,A0086,부산구서점(직),4,기획,일반판매,AKL7PT001,P-미우밴딩팬츠,BR,브라운,S,판매
153,2024-01-15,직영점,A0086,부산구서점(직),4,정상,일반판매,AKK3PT015,C-윈디울부츠컷,CH,챠콜,F,판매
154,2024-01-15,직영점,A0086,부산구서점(직),4,정상,일반판매,AKJ7JP013,J-카라덕다운점퍼,BE,베이지,F,판매
155,2024-01-15,직영점,A0086,부산구서점(직),5,정상,일반판매,AKK3DP004,C-제리기모와이드데님,ML,중청,L,판매
156,2024-01-16,직영점,A0086,부산구서점(직),1,정상,일반판매,AKL7KT017,P3-셀폴라니트,GR,회색,F,판매
157,2024-01-16,직영점,A0086,부산구서점(직),1,정상,일반판매,AKK3DP002,C-페이기모통데님,DL,진청,M,판매
158,2024-01-16,직영점,A0086,부산구서점(직),1,정상,일반판매,AKK3PT017,C-헤링뒷밴딩슬랙스,BE,베이지,F,판매
159,2024-01-16,직영점,A0086,부산구서점(직),1,정상,일반판매,AKL7KT007,J-삼색단니트,PP,퍼플,F,판매
160,2024-01-16,직영점,A0086,부산구서점(직),1,정상,일반판매,AJL3KT001,C-컬러큐브니트,GE,그린,F,판매
161,2024-01-16,직영점,A0086,부산구서점(직),1,정상,일반판매,AKL3PT006,C-올리기모와이드슬랙스,BK,블랙,F,판매
162,2024-01-16,직영점,A0086,부산구서점(직),2,기획,일반판매,AKL7PT001,P-미우밴딩팬츠,BR,브라운,S,판매
163,2024-01-16,직영점,A0086,부산구서점(직),3,정상,일반판매,AKK7KT017,J-루이폴라니트,BE,베이지,F,반품
164,2024-01-16,직영점,A0086,부산구서점(직),3,정상,일반판매,AKL7KT016,J-글리배색반폴니트,GR,회색,F,반품
165,2024-01-16,직영점,A0086,부산구서점(직),3,정상,일반판매,AKL7KT016,J-글리배색반폴니트,BE,베이지,F,반품
166,2024-01-16,직영점,A0086,부산구서점(직),3,기획,일반판매,AKL7PT001,P-미우밴딩팬츠,BR,브라운,S,반품
167,2024-01-16,직영점,A0086,부산구서점(직),3,정상,일반판매,AKK3PT015,C-윈디울부츠컷,CH,챠콜,F,반품
168,2024-01-16,직영점,A0086,부산구서점(직),3,정상,일반판매,AKJ7JP013,J-카라덕다운점퍼,BE,베이지,F,반품
169,2024-01-16,직영점,A0086,부산구서점(직),4,정상,일반판매,AKK7KT017,J-루이폴라니트,BE,베이지,F,판매
170,2024-01-16,직영점,A0086,부산구서점(직),4,정상,일반판매,AKL7KT016,J-글리배색반폴니트,GR,회색,F,판매
171,2024-01-16,직영점,A0086,부산구서점(직),4,정상,일반판매,AKL7KT016,J-글리배색반폴니트,BE,베이지,F,판매
172,2024-01-16,직영점,A0086,부산구서점(직),4,기획,일반판매,AKL7PT001,P-미우밴딩팬츠,BR,브라운,S,판매
173,2024-01-16,직영점,A0086,부산구서점(직),4,정상,일반판매,AKK3PT015,C-윈디울부츠컷,CH,챠콜,F,판매
174,2024-01-16,직영점,A0086,부산구서점(직),5,정상,일반판매,AKK7VT007,J-롱폴라조끼,GR,회색,F,판매
