?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분
134,2024-01-07,직영점,A0024,부산두실점(직),9,정상,일반판매,AKK3PT013,C-시보리골덴배기(기모),KH,카키,M,판매
135,2024-01-08,직영점,A0024,부산두실점(직),1,정상,일반판매,ZA00CO002,아메리카노(음료),XX,XX,XX,판매
136,2024-01-08,직영점,A0024,부산두실점(직),2,기획,일반판매,AKL7KT003,P-로제폴라니트,IV,아이보리,F,판매
137,2024-01-08,직영점,A0024,부산두실점(직),3,정상,일반판매,BKL4GV002,보카무지장갑,XX,XX,F,판매
138,2024-01-08,직영점,A0024,부산두실점(직),4,정상,일반판매,BJK4GV002,엄지검지터치장갑,XX,XX,F,판매
139,2024-01-08,직영점,A0024,부산두실점(직),4,정상,일반판매,BJK4SC003,메이플중목삭스(2pcs),XX,XX,F,판매
140,2024-01-08,직영점,A0024,부산두실점(직),5,정상,일반판매,AEK1CT403,유러피안 퍼 롱 코트,BE,베이지,L,판매
141,2024-01-08,직영점,A0024,부산두실점(직),5,정상,일반판매,AJK7KT005,레이즈베어니트,RE,레드,F,판매
142,2024-01-08,직영점,A0024,부산두실점(직),6,정상,일반판매,ZA00CO003,카페라떼(음료),XX,XX,XX,판매
143,2024-01-08,직영점,A0024,부산두실점(직),7,정상,일반판매,BJK4SC003,메이플중목삭스(2pcs),XX,XX,F,판매
144,2024-01-08,직영점,A0024,부산두실점(직),8,정상,일반판매,AIK3TS022,S-기모H,KH,카키,F,판매
145,2024-01-08,직영점,A0024,부산두실점(직),8,정상,일반판매,AKL7KT019,P3-사선반폴니트,BR,브라운,F,판매
146,2024-01-08,직영점,A0024,부산두실점(직),9,정상,일반판매,BKL7BG014,J-페페숄더백,GE,그린,F,판매
147,2024-01-08,직영점,A0024,부산두실점(직),10,기획,일반판매,AKL7DP005,P-미니스마일데님배기,DL,진청,F,판매
148,2024-01-08,직영점,A0024,부산두실점(직),11,정상,일반판매,AKA3KT014,S-플라워비즈KT,GE,그린,F,판매
149,2024-01-08,직영점,A0024,부산두실점(직),12,정상,일반판매,AKK7KT014,J-스케치래빗니트,NA,네이비,F,판매
150,2024-01-08,직영점,A0024,부산두실점(직),13,정상,일반판매,AJL3OP005,C-레이스니트OPS,BK,블랙,F,판매
151,2024-01-08,직영점,A0024,부산두실점(직),13,정상,일반판매,BKL7MF004,와플니트고리,GE,그린,F,판매
152,2024-01-08,직영점,A0024,부산두실점(직),13,정상,일반판매,AEJ1KN201,슬로베니아 니트케이프,BK,블랙,M,판매
153,2024-01-08,직영점,A0024,부산두실점(직),13,정상,일반판매,AJJ3PT014,S-아미배기,BK,블랙,F,판매
154,2024-01-08,직영점,A0024,부산두실점(직),13,정상,일반판매,AKJ7KT001,J-심플라운드니트,IV,아이보리,F,판매
155,2024-01-08,직영점,A0024,부산두실점(직),13,정상,일반판매,AHA7OP001,옆단추OPS,BK,블랙,F,판매
156,2024-01-08,직영점,A0024,부산두실점(직),13,정상,일반판매,BKL3CP002,펄링귀방울모자,PK,핑크,F,판매
157,2024-01-08,직영점,A0024,부산두실점(직),13,정상,일반판매,BKL7MF001,모닝퍼머플러,BK,블랙,F,판매
158,2024-01-08,직영점,A0024,부산두실점(직),14,정상,일반판매,AKI7VT008,J-야옹포켓니트조끼,YE,옐로우,F,판매
159,2024-01-08,직영점,A0024,부산두실점(직),15,정상,일반판매,AKK7KT023,J-레인보우니트조끼,GR,회색,F,판매
160,2024-01-08,직영점,A0024,부산두실점(직),16,정상,일반판매,AKK7KT017,J-루이폴라니트,PP,퍼플,F,판매
161,2024-01-09,직영점,A0024,부산두실점(직),1,기획,일반판매,AKL7KT003,P-로제폴라니트,IV,아이보리,F,판매
162,2024-01-09,직영점,A0024,부산두실점(직),2,정상,일반판매,ZA00CO002,아메리카노(음료),XX,XX,XX,판매
163,2024-01-09,직영점,A0024,부산두실점(직),3,정상,일반판매,AGA3KT013,C-반폴언발,MT,민트,F,판매
164,2024-01-09,직영점,A0024,부산두실점(직),4,정상,일반판매,AKK7KT023,J-레인보우니트조끼,IV,아이보리,F,판매
165,2024-01-09,직영점,A0024,부산두실점(직),4,정상,일반판매,AKL7KT011,J-에어벌룬니트,NA,네이비,F,판매
166,2024-01-09,직영점,A0024,부산두실점(직),5,정상,일반판매,AKL7PT004,J-다이아누비팬츠,BK,블랙,F,반품
167,2024-01-09,직영점,A0024,부산두실점(직),6,정상,일반판매,BGL3CP001,구피양면트루퍼,KH,카키,F,판매
168,2024-01-09,직영점,A0024,부산두실점(직),7,정상,일반판매,AKK7KT017,J-루이폴라니트,BE,베이지,F,판매
169,2024-01-09,직영점,A0024,부산두실점(직),8,정상,일반판매,BKL7BG004,J-댄싱숄더백,RE,레드,F,판매
170,2024-01-09,직영점,A0024,부산두실점(직),9,정상,일반판매,BIL4SB015,9189체인앵글부츠,BE,베이지,40,판매
171,2024-01-09,직영점,A0024,부산두실점(직),9,정상,일반판매,BKJ4MF001,데일리숄머플러,PK,핑크,F,판매
172,2024-01-09,직영점,A0024,부산두실점(직),10,정상,일반판매,AKL3PT005,C-래핑패딩팬츠,BK,블랙,F,판매
173,2024-01-10,직영점,A0024,부산두실점(직),1,정상,일반판매,ZA00CO002,아메리카노(음료),XX,XX,XX,판매
174,2024-01-10,직영점,A0024,부산두실점(직),2,정상,일반판매,BJL4MF009,양모바게트머플러,MO,모카,F,판매
175,2024-01-10,직영점,A0024,부산두실점(직),3,정상,일반판매,AEK1OP603,폴라 캐주얼 원피스,BK,블랙,L,판매
176,2024-01-10,직영점,A0024,부산두실점(직),4,정상,일반판매,BJJ4MF005,라운드니트워머,YG,연두색,F,판매
177,2024-01-10,직영점,A0024,부산두실점(직),5,정상,일반판매,AKL3KT004,S-분홍꽃KT,GR,회색,F,판매
178,2024-01-10,직영점,A0024,부산두실점(직),6,정상,일반판매,AKL7PT003,P3-누빔조거팬츠,BK,블랙,F,판매
179,2024-01-10,직영점,A0024,부산두실점(직),7,정상,일반판매,BKL7MF005,컬러풀머플러,YE,옐로우,F,판매
180,2024-01-11,직영점,A0024,부산두실점(직),1,정상,일반판매,AKL7DP006,P3-기모일자통데님,DL,진청,M,판매
181,2024-01-11,직영점,A0024,부산두실점(직),1,정상,일반판매,AKK3PT006,S-시보리기모배기팬츠,BK,블랙,L,판매
182,2024-01-11,직영점,A0024,부산두실점(직),1,정상,일반판매,AKJ7KT006,J-비비드폴라니트,BK,블랙,F,판매
183,2024-01-11,직영점,A0024,부산두실점(직),1,정상,일반판매,AKJ3JP004,S-블럭니트집업,BK,블랙,F,판매
184,2024-01-11,직영점,A0024,부산두실점(직),2,정상,일반판매,AJI7KT034,로젠니트,WH,화이트,F,판매
185,2024-01-11,직영점,A0024,부산두실점(직),3,정상,일반판매,ZA00CO020,아이스카페라떼(음료),XX,XX,XX,판매
186,2024-01-11,직영점,A0024,부산두실점(직),4,정상,일반판매,BJK4GV001,워밍터치장갑,XX,XX,F,판매
187,2024-01-11,직영점,A0024,부산두실점(직),4,정상,일반판매,BKL7BG016,J-엔젤투웨이백,BE,베이지,F,판매
188,2024-01-11,직영점,A0024,부산두실점(직),4,정상,일반판매,BJC4SC001,스프링삭스(3pcs),XX,XX,F,판매
189,2024-01-11,직영점,A0024,부산두실점(직),4,정상,일반판매,ZA00CO002,아메리카노(음료),XX,XX,XX,판매
190,2024-01-11,직영점,A0024,부산두실점(직),5,정상,일반판매,BJK4GV001,워밍터치장갑,XX,XX,F,반품
191,2024-01-11,직영점,A0024,부산두실점(직),5,정상,일반판매,BKL7BG016,J-엔젤투웨이백,BE,베이지,F,반품
192,2024-01-11,직영점,A0024,부산두실점(직),5,정상,일반판매,BJC4SC001,스프링삭스(3pcs),XX,XX,F,반품
193,2024-01-11,직영점,A0024,부산두실점(직),5,정상,일반판매,ZA00CO002,아메리카노(음료),XX,XX,XX,반품
194,2024-01-11,직영점,A0024,부산두실점(직),6,정상,일반판매,AKI7JP007,J-도트니트자켓,BE,베이지,F,판매
195,2024-01-11,직영점,A0024,부산두실점(직),6,정상,일반판매,BJK4GV001,워밍터치장갑,XX,XX,F,판매
196,2024-01-11,직영점,A0024,부산두실점(직),6,정상,일반판매,BKL7BG016,J-엔젤투웨이백,BE,베이지,F,판매
197,2024-01-11,직영점,A0024,부산두실점(직),6,정상,일반판매,BKL4SC001,레이스기모덧신(2pcs),XX,XX,F,판매
198,2024-01-11,직영점,A0024,부산두실점(직),6,정상,일반판매,BJC4SC001,스프링삭스(3pcs),XX,XX,F,판매
199,2024-01-11,직영점,A0024,부산두실점(직),7,정상,일반판매,AKL7KT014,J-캣골지폴라니트,BE,베이지,F,판매
200,2024-01-11,직영점,A0024,부산두실점(직),8,정상,일반판매,AKL7JP004,J-미들포켓덕다운,BE,베이지,F,판매
201,2024-01-11,직영점,A0024,부산두실점(직),8,정상,일반판매,AKK3PT002,C-더치골덴통바지(기모),IV,아이보리,S,판매
202,2024-01-11,직영점,A0024,부산두실점(직),9,정상,일반판매,AEK1OP603,폴라 캐주얼 원피스,BK,블랙,XL,판매
203,2024-01-11,직영점,A0024,부산두실점(직),10,정상,일반판매,AKK7JP025,J-엔조퍼후드점퍼,LV,연보라,F,판매
204,2024-01-12,직영점,A0024,부산두실점(직),1,정상,일반판매,AKL3JK003,S-페이크퍼망토JK,GE,그린,F,판매
205,2024-01-12,직영점,A0024,부산두실점(직),1,기획,일반판매,AKL7PT002,P-버클부츠컷슬랙스,BK,블랙,S,판매
206,2024-01-12,직영점,A0024,부산두실점(직),2,정상,일반판매,AKL7DP006,P3-기모일자통데님,DL,진청,M,판매
207,2024-01-12,직영점,A0024,부산두실점(직),2,정상,일반판매,AKL7PT004,J-다이아누비팬츠,BK,블랙,F,판매
208,2024-01-12,직영점,A0024,부산두실점(직),3,정상,일반판매,AIB7KT007,포켓반니트,GE,그린,F,판매
