?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분
95,2024-01-15,직영점,A0025,부산연지점(직),1,정상,일반판매,AKL7KT014,J-캣골지폴라니트,BE,베이지,F,판매
96,2024-01-15,직영점,A0025,부산연지점(직),2,정상,일반판매,BKL4CP006,패딩덤블보넷,BE,베이지,F,판매
97,2024-01-15,직영점,A0025,부산연지점(직),3,정상,일반판매,AKA3KT004,S-드림베어KT,OL,올리브,F,판매
98,2024-01-15,직영점,A0025,부산연지점(직),4,기획,일반판매,AKK7VT023,P-플라워집업조끼,BK,블랙,F,판매
99,2024-01-15,직영점,A0025,부산연지점(직),5,정상,일반판매,AEK2PT707,배색 부츠컷,DB,다크베이지,L,판매
100,2024-01-15,직영점,A0025,부산연지점(직),5,정상,일반판매,AKL7KT019,P3-사선반폴니트,BK,블랙,F,판매
101,2024-01-15,직영점,A0025,부산연지점(직),6,정상,일반판매,AIC3OP013,S-츄즈OPS,SO,소라,F,판매
102,2024-01-15,직영점,A0025,부산연지점(직),6,정상,일반판매,BKL4SC001,레이스기모덧신(2pcs),XX,XX,F,판매
103,2024-01-15,직영점,A0025,부산연지점(직),7,정상,일반판매,AKI7JK013,J-라운배색니트자켓,BK,블랙,F,판매
104,2024-01-15,직영점,A0025,부산연지점(직),8,정상,일반판매,AKJ7KT003,J-큐빅골지니트,IV,아이보리,F,판매
105,2024-01-15,직영점,A0025,부산연지점(직),9,정상,일반판매,AKJ7KT006,J-비비드폴라니트,OT,오트밀,F,판매
106,2024-01-15,직영점,A0025,부산연지점(직),9,정상,일반판매,AKJ7KT006,J-비비드폴라니트,BK,블랙,F,판매
107,2024-01-16,직영점,A0025,부산연지점(직),1,기획,일반판매,AKK7JK004,P-글루밍퍼자켓,IV,아이보리,F,판매
108,2024-01-16,직영점,A0025,부산연지점(직),1,정상,일반판매,AKL7KT013,J-굿니트후디,BE,베이지,F,판매
109,2024-01-16,직영점,A0025,부산연지점(직),2,정상,일반판매,AKK3PT007,S-기모건빵바지,BK,블랙,L,판매
110,2024-01-16,직영점,A0025,부산연지점(직),2,정상,일반판매,AKK7KT017,J-루이폴라니트,PP,퍼플,F,판매
111,2024-01-16,직영점,A0025,부산연지점(직),3,정상,일반판매,AIC3TS035,S-해바라기T,PP,퍼플,F,판매
112,2024-01-16,직영점,A0025,부산연지점(직),4,기획,일반판매,AKK7VT023,P-플라워집업조끼,PP,퍼플,F,판매
113,2024-01-16,직영점,A0025,부산연지점(직),4,기획,일반판매,AKK7VT023,P-플라워집업조끼,BK,블랙,F,판매
114,2024-01-16,직영점,A0025,부산연지점(직),5,정상,일반판매,AKL7KT017,P3-셀폴라니트,BK,블랙,F,판매
115,2024-01-17,직영점,A0025,부산연지점(직),1,정상,일반판매,AIL7KT015,커팅기모KT,BL,블루,F,판매
116,2024-01-17,직영점,A0025,부산연지점(직),2,정상,일반판매,AEI2OP604,요세미티 데님 루즈핏 롱 원피스,BL,블루,L,판매
117,2024-01-17,직영점,A0025,부산연지점(직),3,기획,일반판매,AKK7TS002,P-폴라기모T,WN,와인,F,판매
118,2024-01-17,직영점,A0025,부산연지점(직),3,정상,일반판매,AJE3ST001,Q-굿드세트,YG,연두색,F,판매
119,2024-01-17,직영점,A0025,부산연지점(직),3,정상,일반판매,AHI7OP004,롱라운드후디,BE,베이지,F,판매
120,2024-01-18,직영점,A0025,부산연지점(직),1,정상,일반판매,AKK7KT021,J-파인단추니트,MO,모카,F,판매
121,2024-01-18,직영점,A0025,부산연지점(직),2,정상,일반판매,BKL7MF004,와플니트고리,GE,그린,F,판매
122,2024-01-18,직영점,A0025,부산연지점(직),3,정상,일반판매,AIK3CT010,S-울요꼬코트,BR,브라운,F,판매
123,2024-01-19,직영점,A0025,부산연지점(직),1,정상,일반판매,BKL7BG009,J-패치숄더백,BK,블랙,F,판매
124,2024-01-19,직영점,A0025,부산연지점(직),1,정상,일반판매,BJL4SC003,울포인삭스(2pcs),XX,XX,F,판매
125,2024-01-19,직영점,A0025,부산연지점(직),2,정상,일반판매,BKL4CP007,타조돌돌이챙,BE,베이지,F,판매
126,2024-01-19,직영점,A0025,부산연지점(직),3,정상,일반판매,AKK7KT020,J-하이캣자수니트,OL,올리브,F,판매
127,2024-01-19,직영점,A0025,부산연지점(직),3,정상,일반판매,AKL7KT005,J-젤리반폴니트,BE,베이지,F,판매
128,2024-01-19,직영점,A0025,부산연지점(직),4,정상,일반판매,AKI7JK013,J-라운배색니트자켓,IV,아이보리,F,판매
129,2024-01-19,직영점,A0025,부산연지점(직),5,정상,일반판매,AKK3PT006,S-시보리기모배기팬츠,BK,블랙,M,판매
130,2024-01-19,직영점,A0025,부산연지점(직),6,정상,일반판매,AKK7VT019,J-멜로우니트조끼,GE,그린,F,판매
131,2024-01-19,직영점,A0025,부산연지점(직),7,정상,일반판매,AKL7KT017,P3-셀폴라니트,BK,블랙,F,판매
132,2024-01-19,직영점,A0025,부산연지점(직),7,정상,일반판매,AKJ3TS009,C-앙고라폴라티,BL,블루,F,판매
133,2024-01-19,직영점,A0025,부산연지점(직),8,기획,일반판매,AKK7TS002,P-폴라기모T,BG,청록색,F,판매
134,2024-01-19,직영점,A0025,부산연지점(직),9,정상,일반판매,AKK7KT014,J-스케치래빗니트,BE,베이지,F,판매
135,2024-01-20,직영점,A0025,부산연지점(직),1,정상,일반판매,KFZ3AK001,K블랙리버시블,BK,블랙,F,판매
136,2024-01-20,직영점,A0025,부산연지점(직),1,정상,일반판매,AKK3PT007,S-기모건빵바지,BK,블랙,M,판매
137,2024-01-20,직영점,A0025,부산연지점(직),1,정상,일반판매,AKJ3VT004,C-버튼니트조끼,BR,브라운,F,판매
138,2024-01-20,직영점,A0025,부산연지점(직),2,정상,일반판매,AKL7KT015,J-눈꽃소녀니트,BE,베이지,F,판매
139,2024-01-20,직영점,A0025,부산연지점(직),2,정상,일반판매,AKJ7DP002,J-로튼데님배기,DL,진청,M,판매
140,2024-01-20,직영점,A0025,부산연지점(직),3,정상,일반판매,AEK1PT602,오발 캐주얼 바지,GR,회색,M,판매
141,2024-01-20,직영점,A0025,부산연지점(직),4,정상,일반판매,AKL7JP017,P3-세모끈덕다운,BR,브라운,F,판매
142,2024-01-20,직영점,A0025,부산연지점(직),4,기획,일반판매,AKL7KT001,P-모드폴라니트,KH,카키,F,판매
143,2024-01-21,직영점,A0025,부산연지점(직),1,정상,일반판매,AKK3JP001,C-치치후드집업,IV,아이보리,F,판매
144,2024-01-22,직영점,A0025,부산연지점(직),1,정상,일반판매,AKK4CT001,S-캐시후드핸드메이드,BE,베이지,F,판매
145,2024-01-22,직영점,A0025,부산연지점(직),2,정상,일반판매,AKL3OP003,C-반집업기모OPS,BE,베이지,F,판매
146,2024-01-22,직영점,A0025,부산연지점(직),2,기획,일반판매,AKL7PT001,P-미우밴딩팬츠,BR,브라운,XL,판매
147,2024-01-23,직영점,A0025,부산연지점(직),1,정상,일반판매,BKL4GV001,잔꽃포근장갑,XX,XX,F,판매
148,2024-01-23,직영점,A0025,부산연지점(직),2,정상,일반판매,AIC3ST006,S-R니트세트,PK,핑크,F,판매
149,2024-01-23,직영점,A0025,부산연지점(직),2,정상,일반판매,AKI7JP002,J-카라레더점퍼,BR,브라운,F,판매
150,2024-01-23,직영점,A0025,부산연지점(직),2,정상,일반판매,AKB3CA008,C-캐미투포켓오픈가디건,MT,민트,F,판매
151,2024-01-23,직영점,A0025,부산연지점(직),2,정상,일반판매,AEI2BL602,샌디에고 데님셔츠 점퍼,BL,블루,L,판매
152,2024-01-23,직영점,A0025,부산연지점(직),2,정상,일반판매,AKK3DP007,C-헤비와이드기모부츠컷데님,DL,진청,L,판매
153,2024-01-23,직영점,A0025,부산연지점(직),3,정상,일반판매,AIC3ST006,S-R니트세트,PK,핑크,F,판매
154,2024-01-23,직영점,A0025,부산연지점(직),3,정상,일반판매,AKI7JP002,J-카라레더점퍼,BR,브라운,F,판매
155,2024-01-23,직영점,A0025,부산연지점(직),3,정상,일반판매,AKB3CA008,C-캐미투포켓오픈가디건,MT,민트,F,판매
