?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분
137,2024-01-19,직영점,A0020,부산모라점(직),3,정상,일반판매,AKK3DP001,C-다비기모통데님,DL,진청,L,판매
138,2024-01-19,직영점,A0020,부산모라점(직),3,기획,일반판매,AKL7PT002,P-버클부츠컷슬랙스,BK,블랙,L,판매
139,2024-01-19,직영점,A0020,부산모라점(직),4,정상,일반판매,AKK7VT002,J-로티덕다운조끼,BK,블랙,F,판매
140,2024-01-19,직영점,A0020,부산모라점(직),5,정상,일반판매,AKI7JP016,J-하트니트후드집업,BR,브라운,F,판매
141,2024-01-19,직영점,A0020,부산모라점(직),6,기획,일반판매,AKL7KT003,P-로제폴라니트,RE,레드,F,판매
142,2024-01-19,직영점,A0020,부산모라점(직),7,정상,일반판매,AKI7JP011,J-스티치니트집업,KH,카키,F,판매
143,2024-01-19,직영점,A0020,부산모라점(직),7,기획,일반판매,AKL7PT001,P-미우밴딩팬츠,BR,브라운,XL,판매
144,2024-01-19,직영점,A0020,부산모라점(직),7,정상,일반판매,AJK7KT009,진주하트니트,GE,그린,F,판매
145,2024-01-19,직영점,A0020,부산모라점(직),8,정상,일반판매,AEH1TS301,젠 실켓모달 드레이퍼리 티셔츠,CG,차콜그레이,M,판매
146,2024-01-19,직영점,A0020,부산모라점(직),9,정상,일반판매,AEH1TS301,젠 실켓모달 드레이퍼리 티셔츠,CG,차콜그레이,M,판매
147,2024-01-19,직영점,A0020,부산모라점(직),9,정상,일반판매,AEH1TS301,젠 실켓모달 드레이퍼리 티셔츠,CG,차콜그레이,L,판매
148,2024-01-19,직영점,A0020,부산모라점(직),10,정상,일반판매,AKJ7VT004,J-포켓덕다운조끼,PK,핑크,F,판매
149,2024-01-19,직영점,A0020,부산모라점(직),11,정상,일반판매,AKJ7JP007,J-퍼즐덕다운점퍼,BE,베이지,F,판매
150,2024-01-19,직영점,A0020,부산모라점(직),12,정상,일반판매,BJK3MF002,폴라어깨숄,BK,블랙,F,판매
151,2024-01-19,직영점,A0020,부산모라점(직),12,기획,일반판매,AKJ7TS001,J-베이직폴라T,DB,다크베이지,F,판매
152,2024-01-19,직영점,A0020,부산모라점(직),12,기획,일반판매,AKK7TS002,P-폴라기모T,MO,모카,F,판매
153,2024-01-19,직영점,A0020,부산모라점(직),12,정상,일반판매,AJK7KT011,하트소녀니트,IV,아이보리,F,판매
154,2024-01-19,직영점,A0020,부산모라점(직),13,정상,일반판매,AJL3TS022,C-나비자수기모맨투맨,GR,회색,F,판매
155,2024-01-19,직영점,A0020,부산모라점(직),14,정상,일반판매,AKJ7KT006,J-비비드폴라니트,PP,퍼플,F,판매
156,2024-01-20,직영점,A0020,부산모라점(직),1,정상,일반판매,AKL7PT003,P3-누빔조거팬츠,BK,블랙,F,판매
157,2024-01-20,직영점,A0020,부산모라점(직),1,정상,일반판매,AKL7KT014,J-캣골지폴라니트,BE,베이지,F,판매
158,2024-01-20,직영점,A0020,부산모라점(직),1,정상,일반판매,AKL7JP018,P3-오렌지덕다운패딩,OR,오렌지,F,판매
159,2024-01-20,직영점,A0020,부산모라점(직),2,정상,일반판매,AEK1TS501,언발란스 슬림 짚업티셔츠,GR,회색,S,판매
160,2024-01-20,직영점,A0020,부산모라점(직),2,정상,일반판매,BKI4SC006,웨이브삭스(2pcs),XX,XX,F,판매
161,2024-01-20,직영점,A0020,부산모라점(직),3,정상,일반판매,AKK7KT023,J-레인보우니트조끼,GR,회색,F,판매
162,2024-01-20,직영점,A0020,부산모라점(직),3,정상,일반판매,AJJ7VT003,냥포켓니트조끼,BL,블루,F,판매
163,2024-01-20,직영점,A0020,부산모라점(직),4,정상,일반판매,AKL7DP006,P3-기모일자통데님,DL,진청,M,판매
164,2024-01-20,직영점,A0020,부산모라점(직),4,정상,일반판매,BKL7MF005,컬러풀머플러,YE,옐로우,F,판매
165,2024-01-20,직영점,A0020,부산모라점(직),4,정상,일반판매,AKL7KT004,J-포인폴라니트,IV,아이보리,F,판매
166,2024-01-20,직영점,A0020,부산모라점(직),4,정상,일반판매,BKL7MF005,컬러풀머플러,GE,그린,F,판매
167,2024-01-21,직영점,A0020,부산모라점(직),1,정상,일반판매,AJK3PT010,C-샤이나팔PT,CG,차콜그레이,L,판매
168,2024-01-21,직영점,A0020,부산모라점(직),2,정상,일반판매,AEK1OP604,모즈룩 도트자카드 원피스,BK,블랙,L,판매
169,2024-01-21,직영점,A0020,부산모라점(직),2,정상,일반판매,AEK1SK603,울 360도 플레어 풀스커트,RE,레드,L,판매
170,2024-01-22,직영점,A0020,부산모라점(직),1,정상,일반판매,AIL3BL002,S-벨벳반목BL,GR,회색,F,판매
171,2024-01-22,직영점,A0020,부산모라점(직),2,정상,일반판매,AKJ7JP006,J-무브덕다운점퍼,PK,핑크,F,판매
172,2024-01-22,직영점,A0020,부산모라점(직),3,정상,일반판매,AKL3JP011,S-뒷주름퍼JP,BK,블랙,F,판매
173,2024-01-22,직영점,A0020,부산모라점(직),3,정상,일반판매,AKK7KT021,J-파인단추니트,IV,아이보리,F,판매
174,2024-01-22,직영점,A0020,부산모라점(직),3,정상,일반판매,AKK7KT023,J-레인보우니트조끼,GR,회색,F,판매
175,2024-01-22,직영점,A0020,부산모라점(직),4,정상,일반판매,AJQ4VT001,양모집업조끼,BK,블랙,L,판매
176,2024-01-22,직영점,A0020,부산모라점(직),5,정상,일반판매,AKL7JP004,J-미들포켓덕다운,BK,블랙,F,판매
177,2024-01-22,직영점,A0020,부산모라점(직),5,정상,일반판매,AKL3PT005,C-래핑패딩팬츠,DB,다크베이지,F,판매
178,2024-01-22,직영점,A0020,부산모라점(직),5,정상,일반판매,BJB7BG011,튤립가죽백,BE,베이지,F,판매
179,2024-01-23,직영점,A0020,부산모라점(직),1,기획,일반판매,AKK7JP024,P-비조폭스구스다운,BG,청록색,F,판매
180,2024-01-23,직영점,A0020,부산모라점(직),2,정상,일반판매,AHK3TS010,S-벨벳백조,KH,카키,F,판매
181,2024-01-23,직영점,A0020,부산모라점(직),2,정상,일반판매,AIA3PT003,Q-면기획일자,IV,아이보리,L,판매
182,2024-01-23,직영점,A0020,부산모라점(직),2,정상,일반판매,BIL4MF017,이지울워머,BK,블랙,F,판매
183,2024-01-23,직영점,A0020,부산모라점(직),2,정상,일반판매,BJK4SC007,키키삭스(2pcs),XX,XX,F,판매
184,2024-01-24,직영점,A0020,부산모라점(직),1,정상,일반판매,AEI2PT601,볼로냐 와이드 팬츠,BK,블랙,S,판매
185,2024-01-24,직영점,A0020,부산모라점(직),2,정상,일반판매,AKB3TS014,S-해브스마일맨투맨,BL,블루,F,판매
186,2024-01-24,직영점,A0020,부산모라점(직),2,정상,일반판매,AKK7KT019,J-머쉬포인니트,PP,퍼플,F,판매
187,2024-01-24,직영점,A0020,부산모라점(직),3,정상,일반판매,AEK1OP701,캐주얼 롱 원피스,BK,블랙,F,판매
188,2024-01-24,직영점,A0020,부산모라점(직),4,정상,일반판매,AKL7KT011,J-에어벌룬니트,NA,네이비,F,판매
189,2024-01-24,직영점,A0020,부산모라점(직),4,정상,일반판매,AJK3KT008,C-골드반목니트,BK,블랙,F,판매
190,2024-01-24,직영점,A0020,부산모라점(직),5,정상,일반판매,AKL3JP005,S-레터링패딩점퍼,BR,브라운,F,판매
191,2024-01-24,직영점,A0020,부산모라점(직),5,정상,일반판매,AFL3JP008,A-G모자롱,NA,네이비,F,판매
192,2024-01-24,직영점,A0020,부산모라점(직),6,정상,일반판매,AKB7KT001,진주반폴라니트,GE,그린,F,판매
193,2024-01-24,직영점,A0020,부산모라점(직),6,정상,일반판매,BLA7BG002,체스백팩(24),BK,블랙,F,판매
194,2024-01-24,직영점,A0020,부산모라점(직),7,정상,일반판매,BKK7BG001,J-세로지퍼백팩,BK,블랙,F,판매
195,2024-01-24,직영점,A0020,부산모라점(직),8,정상,일반판매,AJC7PT005,아가일조거,BK,블랙,F,판매
196,2024-01-25,직영점,A0020,부산모라점(직),1,정상,일반판매,AKK3PT006,S-시보리기모배기팬츠,BK,블랙,L,판매
197,2024-01-25,직영점,A0020,부산모라점(직),2,기획,일반판매,AKL7KT003,P-로제폴라니트,BK,블랙,F,판매
198,2024-01-25,직영점,A0020,부산모라점(직),3,정상,일반판매,BKJ4SC003,프릴삭스(2pcs),XX,XX,F,판매
199,2024-01-25,직영점,A0020,부산모라점(직),3,정상,일반판매,AEH1TS301,젠 실켓모달 드레이퍼리 티셔츠,BK,블랙,M,판매
200,2024-01-25,직영점,A0020,부산모라점(직),3,정상,일반판매,AHA3CA001,Q-애플가디건,BR,브라운,F,판매
201,2024-01-25,직영점,A0020,부산모라점(직),3,정상,일반판매,AKL3SK002,S-패딩롱스커트,IV,아이보리,F,판매
