?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분
175,2024-01-14,직영점,A0006,부산하단점,8,정상,일반판매,AKK3PT007,S-기모건빵바지,BK,블랙,M,판매
176,2024-01-14,직영점,A0006,부산하단점,8,정상,일반판매,AKI7KT013,J-컬러단가라KT,BR,브라운,F,판매
177,2024-01-15,직영점,A0006,부산하단점,1,기획,일반판매,AKL7PT002,P-버클부츠컷슬랙스,BK,블랙,M,판매
178,2024-01-15,직영점,A0006,부산하단점,1,기획,일반판매,AKL7PT002,P-버클부츠컷슬랙스,BK,블랙,L,판매
179,2024-01-15,직영점,A0006,부산하단점,2,정상,일반판매,AKK3JP005,S-엠보패딩점퍼,BE,베이지,F,반품
180,2024-01-15,직영점,A0006,부산하단점,3,기획,일반판매,AKK7TS002,P-폴라기모T,BK,블랙,F,판매
181,2024-01-15,직영점,A0006,부산하단점,4,정상,일반판매,AKK3PT002,C-더치골덴통바지(기모),CH,챠콜,M,판매
182,2024-01-15,직영점,A0006,부산하단점,4,정상,일반판매,AKK3DP001,C-다비기모통데님,DL,진청,M,판매
183,2024-01-15,직영점,A0006,부산하단점,5,기획,일반판매,AKL7KT001,P-모드폴라니트,IV,아이보리,F,판매
184,2024-01-15,직영점,A0006,부산하단점,6,기획,일반판매,AKI7KT012,J-컬러반폴니트,RE,레드,F,판매
185,2024-01-15,직영점,A0006,부산하단점,7,정상,일반판매,AJL7KT009,컬러단반폴KT,RE,레드,F,판매
186,2024-01-15,직영점,A0006,부산하단점,8,정상,일반판매,AKL7KT008,J-스트라이프니트,BE,베이지,F,판매
187,2024-01-15,직영점,A0006,부산하단점,8,정상,일반판매,AKC3WS016,C-랜디플라워셔츠,BL,블루,F,판매
188,2024-01-15,직영점,A0006,부산하단점,9,정상,일반판매,AKK3PT015,C-윈디울부츠컷,CH,챠콜,L,판매
189,2024-01-15,직영점,A0006,부산하단점,9,정상,일반판매,AKL7KT011,J-에어벌룬니트,NA,네이비,F,판매
190,2024-01-16,직영점,A0006,부산하단점,1,기획,일반판매,AKL7KT001,P-모드폴라니트,KH,카키,F,판매
191,2024-01-16,직영점,A0006,부산하단점,2,정상,일반판매,AKI3PT014,C-데일리코튼부츠컷,BK,블랙,M,판매
192,2024-01-16,직영점,A0006,부산하단점,3,정상,일반판매,AKK3PT005,C-스타기모통(23),CH,챠콜,M,판매
193,2024-01-16,직영점,A0006,부산하단점,3,정상,일반판매,BKL4GV006,밍크레이스장갑,XX,XX,F,판매
194,2024-01-16,직영점,A0006,부산하단점,3,정상,일반판매,BKC4MF025,플라워양모사각,LV,연보라,F,판매
195,2024-01-16,직영점,A0006,부산하단점,3,정상,일반판매,AKK3PT015,C-윈디울부츠컷,CH,챠콜,L,판매
196,2024-01-16,직영점,A0006,부산하단점,4,정상,일반판매,AKK3JP008,S-푸디이중점퍼(패딩),CM,카멜,F,판매
197,2024-01-16,직영점,A0006,부산하단점,4,정상,일반판매,AHI7TS006,파이핑후디,BE,베이지,F,판매
