?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분
81,2024-01-23,직영점,A0070,부산만덕점(직),1,정상,일반판매,AJA3KT004,S-은하수,IV,아이보리,F,판매
82,2024-01-23,직영점,A0070,부산만덕점(직),2,정상,일반판매,AJC4TS002,M-리엔T,GR,회색,L,판매
83,2024-01-23,직영점,A0070,부산만덕점(직),3,정상,일반판매,AJI7CA002,라인니트집업,BK,블랙,F,판매
84,2024-01-23,직영점,A0070,부산만덕점(직),3,정상,일반판매,AEK1OP604,모즈룩 도트자카드 원피스,BK,블랙,L,판매
85,2024-01-23,직영점,A0070,부산만덕점(직),4,정상,일반판매,AHK7TS019,유고터들T,PK,핑크,F,판매
86,2024-01-24,직영점,A0070,부산만덕점(직),1,정상,일반판매,AKL3KT001,S-셀리폴라KT,GR,회색,F,판매
87,2024-01-24,직영점,A0070,부산만덕점(직),1,정상,일반판매,AKJ3PT005,C-8부포켓골덴통,MU,머스타드,F,판매
88,2024-01-24,직영점,A0070,부산만덕점(직),1,정상,일반판매,AGL7WS001,퍼믹스남방,YE,옐로우,F,판매
89,2024-01-24,직영점,A0070,부산만덕점(직),2,정상,일반판매,AIL4WS001,S-R체크NB,NA,네이비,F,판매
90,2024-01-25,직영점,A0070,부산만덕점(직),1,정상,일반판매,AEJ1CT501,헌팅턴 라글란 스포티 코트,KH,카키,M,판매
91,2024-01-25,직영점,A0070,부산만덕점(직),1,정상,일반판매,AEK1TS501,언발란스 슬림 짚업티셔츠,BK,블랙,S,판매
92,2024-01-25,직영점,A0070,부산만덕점(직),1,정상,일반판매,AEK1OP601,포켓 롱 원피스,GR,회색,M,판매
93,2024-01-26,직영점,A0070,부산만덕점(직),1,기획,일반판매,AKK7TS002,P-폴라기모T,BK,블랙,F,판매
94,2024-01-26,직영점,A0070,부산만덕점(직),1,정상,일반판매,AKL7KT016,J-글리배색반폴니트,BE,베이지,F,판매
95,2024-01-29,직영점,A0070,부산만덕점(직),1,정상,일반판매,AKK3PT013,C-시보리골덴배기(기모),KH,카키,M,판매
96,2024-01-29,직영점,A0070,부산만덕점(직),1,정상,일반판매,AKL7JP019,P4-포켓장식덕다운,LG,연한그레이,F,판매
97,2024-01-29,직영점,A0070,부산만덕점(직),2,정상,일반판매,BKL7MF007,하운드니트고리,BK,블랙,F,판매
98,2024-01-29,직영점,A0070,부산만덕점(직),2,정상,일반판매,BKL7MF004,와플니트고리,GE,그린,F,판매
99,2024-01-29,직영점,A0070,부산만덕점(직),3,정상,일반판매,BJJ4CP001,니트볼캡,WN,와인,F,판매
100,2024-01-29,직영점,A0070,부산만덕점(직),4,정상,일반판매,ALB3TS007,C-TCCRHN-베이직단가라티,IV,아이보리,F,판매
