product_id,product_code,product_name
449,ALD7TS007,3-OCCRHN-선셋T
450,AKG4PT002,Z-아웃포켓배기팬츠
451,AKH3BL029,S-밀크셔링BL
452,ALE3WS005,3-ECCSHN-물결나염
453,ALE3TS013,3-OCCRHN-앞라인T
454,AKE7KT004,컬러단가라반팔KT
455,AKF3PT001,C-오디포켓배기
456,ALC3SK004,C-SSPXXL-아일스커트
457,AKF3TS011,S-통조림T
458,ALD7PT002,3-SCLXB9-린넨배기PT
459,ALD7PT001,3-CCLXX9-미니고방PT
460,ALD3WS008,3-SCCSAN-스티치컬러셔츠
461,BLD4CP007,플랩썬햇
462,BLD4SC008,포인중목삭스(2pcs)
463,BLD4SC003,포포삭스(2pcs)
464,BKE4SB003,썸머컬러샌들(A7179)
465,AJC3BL005,C-멜본BL
466,ALE3TS010,3-OCCRHN-S포켓T
467,ALE3TS011,3-OCCRHN-우노T
468,ALD3JK011,3-SSPCHN-이중카라JK
469,ALD3WS006,3-CCLSHN-배색체크셔츠
470,AKF3DP006,C-스카이와이드데님
471,ALE3JP005,C-OCPDHN-라인이중점퍼
472,ALE3JP001,3-OCPHHN-어바웃후드점퍼
473,ALE3OP005,3-SSPCXL-카라OPS
474,AKD3DP004,C-보카코튼통바지
475,ALE3PT001,3-SSPX19-레이단추PT
476,ALD3JK003,3-SSPCAN-쥬리JK
477,BLC7BG003,J-체크크로스백
478,AKF3DP009,C-스텔라큐롯데님
479,ALE7KN001,3-OSAZSN-삼각시스루나시
480,AKF3TS010,S-에브T
481,ALD7BL002,3-ECLCHN-배색카라BL
482,BKL7BG015,J-플릭숄더백
483,BKI4MF005,올리마름모스카프
484,ALD3JP002,3-SCPRHN-라운넥JP
485,ALE3JP006,3-SCPHHN-에어셔링JP
486,AJG7BL011,샐리포켓BL
487,BLD4SC004,코튼망양말(2pcs)
488,BLD4SB007,사각코플랫(668-15)
489,AKH3PT003,C-세리숏PT
490,AKG3BL006,S-엠보스트링BL
491,ALD3DP003,3-SCCXT10-하늘와이드데님
492,ALE3JP007,3-SCPFHF-루비사파리
493,AKG3OP003,S-스탬OPS
494,ALD3JK002,3-SSPCAN-르엘JK
495,AKH3PT013,S-와이드린넨통PT
496,ALE3PT005,3-SCPXT8-쿨밴딩통
497,ALD7PT003,3-SCLXX9-린넨밴딩PT
498,AKG3WS004,C-포켓린넨셔츠
499,BLD4SB004,투라인운동화(5863-1)
500,AKD7KT020,컬러카라포켓KT
501,ALE3OP011,3-SSPSXL-앙상블OPS
502,AKD3VT014,S-로링조끼
503,AKE3CA008,C-시스루V가디건
504,ALE7KN002,3-SSAZSN-망니트나시
505,AKD3TS013,C-버니루즈핏T
506,ALE3JP008,3-OCPRHN-테이핑JP
507,AKE7SK008,잔체크SK
508,BLE4CP001,챙끝조개보넷
509,BGD3MF004,비스코스단가라
510,AKE3DP010,S-타니부츠컷데님
511,ALF3BL001,3-SSPCHN-언발스트링BL
512,AKG3JK002,S-미스JK
513,ALF3JK001,3-SCLSAN-마린JK
514,ALE3TS012,3-OCCRHN-코드자수T
515,ALF3JP002,3-SSPCHN-럭스점퍼
516,BKL7BG009,J-패치숄더백
517,ALE3OP010,3-SSPSXL-롤업벨트OPS
518,AKH7CA001,J-배색카라가디건
519,ALE3OP003,3-SCNSPL-웨스트셔츠롱원피스
520,AIG3PT010,S-앞프릴통바지
521,AKE7CA001,리본브이가디건
522,AKD7KT011,콜린하프니트
523,AJF3PT035,C-메론청PT
524,ALF3WS001,3-SCLSAN-버튼린넨셔츠
525,AKG4BN003,Z-소매니트나시
526,ALE3JP012,3-OCPHHN-레이스프릴JP
527,AJE3TS017,C-솔드라운드T
528,AKF3TS023,S-리즈반팔(2)
529,AKI3JK006,S-자딕포켓JK
530,ALE3JK003,3-TSLCHN-린넨ST더블자켓
531,ALE3SL001,3-SSPXB9-오드부츠컷SL
532,AKE3VT006,S-켈리셔링조끼
533,ALD3KT004,3-SSLVHN-홀가V넥캡니트
534,AKD7CA007,기본심플가디건
535,AKD3TS033,C-블레싱맨투맨
536,ALE3OP004,3-SSPRXL-샌드OPS
537,BLA7BG001,스카이크로스백(24)
538,AHC3PT020,Q-펜디
539,ALE3SL002,3-SSPX19-커트뒷밴딩SL
540,ALE3PT006,3-SCPXT9-밴딩버튼와이드PT
541,ALE3WS006,3-ECCSHN-선염체크
542,ALC3KT009,C-SCAVHN-로잉브이니트
543,ALF3JP003,3-OCPDHN-셔링컷후드JP
544,ALE3BL001,3-OCPRHN-드림BL
545,ALE3ST002,3-SCPRHN-프리미엄ST
546,ALE3DP004,3-SCCXT9-슈가통데님
547,BJF7BG017,프라주름백
548,ALF3JK004,3-OCLSHF-호시린넨오픈JK
549,AIC3BL045,S-엘르BL
550,BLF4CP006,단가라꽃해바라기
551,AJF3PT023,S-밑단스티치PT
552,AKD3TS047,C-마카롱크롭티
553,AKD3TS051,C-헤드슬림7부티
554,ALE7TS002,3-OCPRHN-뒷레이스T
555,ALE3TS007,3-OCCRHN-브라운T
556,BLF4CP001,체크파이핑뒷주름벙
557,ALE3PT002,3-SCLXT9-린넨통PT
558,AKF3ST004,C-페이퍼와이드통SET
559,AKF3TS014,C-리그슬럽V티
560,AKD3CA005,S-스카시하프가디건
561,AKF3BL016,S-소매턱여름BL
562,ALE3OP013,3-SSPSXL-세라OPS
563,ALF3JK002,3-OCLSHN-자수마자켓
564,ALE7BL001,3-OCPRHN-R셔링블라우스
565,ALC3TS001,C-OCCRHN-미니도그T
566,BLA7BG005,다이아백팩(24)
567,AIE7CA010,G빅로고
568,ALF3JP004,3-OCDHHN-하트지퍼후드
569,ALF3BL006,3-OCPRHN-베티BL
570,ALF3BL007,3-OCPRHN-썬플라워BL
571,BLF4SB002,비즈글리터샌들(500-2)
572,ALF3TS002,3-SCLRHN-말리부린넨T
573,BLF4MF004,레이스린넨스카프
574,ALE3WS008,3-FCCSHN-데이지나염셔츠
575,BLF7BG004,J-파인애플백
576,ALE3DP005,3-OCCXC9-블루부츠컷데님
577,ALF3PT005,3-SCCXT5-심플린넨5부
578,ALF7TS004,3-OCPDHN-베어후드반팔
579,ALF7TS002,3-OCPRHN-블랙포인T
580,AKD3TS037,S-헤리탄맨투맨
581,ALF3PT002,3-SCCXT9-썸머캔디일자
582,BLF4SB006,시스루큐빅힐(9525)
583,ALF3PT004,3-SCCXB9-밴딩면배기
584,AJG3BL025,C-엠보BL
585,ALF3JP001,3-OCPCHN-시보리배색JP(2)
586,AKI3BL002,C-유니픽스BL
587,AKI7BL001,J-쉬폰소매니트BL
588,BLF7BG001,J-패널크로스백
589,AKF7KT004,내셔널KT
590,ALF3JK005,3-SCPSHN-날개끈JK
591,ALF7TS001,3-OCPDHN-레고후드
592,BLF4CP004,벨크로썬캡
593,AKH3BL028,L-진주체크BL
594,ALF3TS004,3-OCCRHN-써니나염T
595,AII3JP001,S-후릴JK
596,ALF3WS003,3-FSCNHH-언발플라워나염
597,AKG3PT001,C-슈가하프팬츠
598,BLF4GV002,패턴반장갑
599,AKH7PT003,J-밴딩와이드린넨PT
