sale_id,sale_date,store_id,product_id,color_id,size_id,quantity,price_type,sale_type,transaction_type,year,month
176,2024-01-16,1,77,7,1,1,정상,일반판매,반품,2023,12
177,2024-01-16,1,85,3,1,1,정상,일반판매,반품,2022,12
178,2024-01-16,1,86,3,1,1,정상,일반판매,반품,2023,12
179,2024-01-16,1,87,16,5,1,정상,일반판매,판매,2017,8
180,2024-01-16,1,77,7,1,1,정상,일반판매,판매,2023,12
181,2024-01-16,1,86,3,1,1,정상,일반판매,판매,2023,12
182,2024-01-16,1,88,24,1,1,정상,일반판매,판매,2023,9
183,2024-01-16,1,77,7,1,1,정상,일반판매,반품,2023,12
184,2024-01-16,1,86,3,1,1,정상,일반판매,반품,2023,12
185,2024-01-16,1,88,24,1,1,정상,일반판매,반품,2023,9
186,2024-01-16,1,77,7,1,1,정상,일반판매,판매,2023,12
187,2024-01-16,1,86,3,1,1,정상,일반판매,판매,2023,12
188,2024-01-16,1,88,24,1,1,정상,일반판매,판매,2023,9
189,2024-01-16,1,85,3,1,1,정상,일반판매,판매,2022,12
190,2024-01-16,1,88,24,1,1,정상,일반판매,판매,2023,9
191,2024-01-17,1,38,5,1,1,정상,일반판매,판매,2023,11
192,2024-01-17,1,89,8,1,1,정상,일반판매,판매,2023,12
193,2024-01-17,1,90,4,5,1,정상,일반판매,판매,2023,11
194,2024-01-17,1,74,1,1,1,기획,일반판매,판매,2023,11
195,2024-01-17,1,91,1,1,1,기획,일반판매,판매,2023,10
196,2024-01-17,1,92,22,1,1,정상,일반판매,판매,2023,11
197,2024-01-17,1,23,8,5,1,기획,일반판매,판매,2023,12
198,2024-01-17,1,93,7,1,1,정상,일반판매,판매,2023,10
199,2024-01-18,1,94,7,1,1,정상,일반판매,판매,2023,12
200,2024-01-18,1,95,1,1,1,정상,일반판매,판매,2023,11
201,2024-01-18,1,96,23,1,1,정상,일반판매,판매,2023,9
202,2024-01-18,1,89,8,1,1,정상,일반판매,판매,2023,12
203,2024-01-18,1,38,5,1,1,정상,일반판매,반품,2023,11
204,2024-01-18,1,89,8,1,1,정상,일반판매,반품,2023,12
205,2024-01-19,1,62,4,5,1,정상,일반판매,판매,2023,12
206,2024-01-19,1,97,8,1,1,정상,일반판매,판매,2023,12
207,2024-01-19,1,98,3,1,1,정상,일반판매,판매,2023,9
208,2024-01-20,1,20,15,1,1,기획,일반판매,판매,2023,12
209,2024-01-20,1,99,3,1,1,정상,일반판매,판매,2023,12
210,2024-01-20,1,42,10,1,1,기획,일반판매,판매,2023,11
211,2024-01-20,1,100,24,1,1,정상,일반판매,판매,2022,11
212,2024-01-20,1,100,24,1,1,정상,일반판매,판매,2022,11
213,2024-01-20,1,101,24,1,1,정상,일반판매,판매,2022,11
214,2024-01-20,1,102,15,1,1,정상,일반판매,판매,2023,12
215,2024-01-21,1,103,18,1,1,정상,일반판매,판매,2022,11
216,2024-01-21,1,104,1,1,1,정상,일반판매,판매,2023,12
217,2024-01-21,1,104,1,1,1,정상,일반판매,반품,2023,12
218,2024-01-22,1,105,9,1,1,정상,일반판매,판매,2021,2
219,2024-01-22,1,106,1,1,1,정상,일반판매,판매,2023,9
220,2024-01-22,1,2,2,1,1,정상,일반판매,판매,2023,12
221,2024-01-22,1,26,1,1,1,기획,일반판매,판매,2023,11
222,2024-01-23,1,58,18,2,1,정상,일반판매,판매,2017,10
223,2024-01-23,1,1,3,1,1,정상,일반판매,판매,2023,12
224,2024-01-23,1,9,5,2,1,정상,일반판매,판매,2023,11
225,2024-01-23,1,18,25,1,1,정상,일반판매,판매,2023,11
226,2024-01-23,1,1,3,1,1,정상,일반판매,반품,2023,12
227,2024-01-23,1,9,5,2,1,정상,일반판매,반품,2023,11
228,2024-01-23,1,18,25,1,1,정상,일반판매,반품,2023,11
229,2024-01-24,1,1,3,1,1,정상,일반판매,판매,2023,12
230,2024-01-24,1,90,4,2,1,정상,일반판매,판매,2023,11
231,2024-01-24,1,107,6,1,1,정상,일반판매,판매,2021,12
232,2024-01-25,1,108,2,5,1,정상,일반판매,판매,2023,11
233,2024-01-25,1,20,8,1,1,기획,일반판매,판매,2023,12
234,2024-01-25,1,109,3,1,1,기획,일반판매,판매,2023,12
