의류 ID,속성 유형,속성 값
149,category,티셔츠
149,texture,니트
150,스타일,캐주얼
150,category,티셔츠
150,texture,저지
150,print,무지
151,스타일,캐주얼
151,category,니트웨어
151,texture,니트
151,print,무지
152,스타일,캐주얼
152,category,팬츠
152,texture,저지
152,print,그래픽
153,스타일,페미니
153,category,티셔츠
153,texture,저지
153,print,그래픽
154,스타일,캐주얼
154,category,티셔츠
154,texture,저지
154,print,그래픽
155,스타일,젠더리스
155,category,티셔츠
155,detail,자수
155,texture,저지
155,print,무지
156,스타일,캐주얼
156,category,티셔츠
156,texture,우븐
156,print,무지
157,스타일,캐주얼
157,category,티셔츠
157,texture,저지
158,스타일,캐주얼
158,category,스커트
158,detail,슬릿
158,texture,우븐
158,print,무지
159,스타일,캐주얼
159,category,티셔츠
159,texture,저지
160,스타일,컨템포러리
160,category,티셔츠
160,detail,포켓
160,texture,우븐
160,print,무지
161,스타일,캐주얼
161,category,티셔츠
161,texture,니트
161,print,무지
162,스타일,캐주얼
162,category,티셔츠
162,texture,저지
162,print,무지
163,스타일,캐주얼
163,category,티셔츠
163,texture,니트
164,스타일,페미니
164,category,블라우스
164,detail,포켓
164,texture,우븐
164,print,무지
165,스타일,캐주얼
165,category,스커트
165,texture,우븐
165,print,무지
166,스타일,컨템포러리
166,category,티셔츠
166,texture,저지
166,print,그래픽
167,스타일,캐주얼
167,category,청바지
167,texture,니트
168,스타일,캐주얼
168,category,티셔츠
168,texture,저지
168,print,그래픽
169,스타일,컨템포러리
169,category,티셔츠
169,texture,저지
169,print,무지
170,스타일,캐주얼
170,category,팬츠
170,detail,포켓
170,texture,니트
170,print,무지
171,스타일,캐주얼
171,category,티셔츠
171,texture,저지
171,print,무지
172,스타일,캐주얼
172,category,티셔츠
172,texture,저지
173,스타일,캐주얼
173,category,티셔츠
173,texture,니트
174,스타일,캐주얼
174,category,티셔츠
174,texture,저지
174,print,무지
175,스타일,캐주얼
175,category,티셔츠
175,texture,저지
175,print,무지
176,스타일,페미니
176,category,티셔츠
176,texture,저지
176,print,그래픽
177,스타일,캐주얼
177,category,티셔츠
177,texture,저지
177,print,그래픽
178,스타일,캐주얼
178,category,티셔츠
178,detail,슬릿
178,texture,저지
178,print,무지
179,스타일,캐주얼
179,category,티셔츠
179,texture,니트
179,print,그래픽
180,스타일,캐주얼
180,category,티셔츠
180,texture,저지
180,print,무지
181,스타일,컨템포러리
181,category,니트웨어
181,texture,니트
181,print,무지
182,스타일,컨템포러리
182,category,티셔츠
182,texture,니트
183,스타일,캐주얼
183,category,티셔츠
183,texture,저지
184,스타일,캐주얼
184,category,티셔츠
184,texture,우븐
184,print,무지
185,스타일,캐주얼
185,category,티셔츠
185,texture,우븐
185,print,무지
186,스타일,캐주얼
186,category,블라우스
186,texture,우븐
186,print,무지
187,스타일,캐주얼
187,category,티셔츠
187,texture,저지
187,print,그래픽
188,스타일,캐주얼
188,category,청바지
188,texture,우븐
188,print,무지
189,스타일,캐주얼
189,category,니트웨어
189,texture,니트
189,print,그래픽
190,스타일,캐주얼
190,category,티셔츠
190,texture,니트
191,스타일,페미니
191,category,팬츠
191,texture,니트
192,스타일,캐주얼
192,category,티셔츠
192,detail,슬릿
192,texture,저지
192,print,무지
193,스타일,페미니
193,category,팬츠
193,texture,우븐
193,print,그래픽
194,스타일,컨템포러리
194,category,티셔츠
194,texture,우븐
194,print,그래픽
195,스타일,내추럴
195,category,티셔츠
195,texture,니트
195,print,그래픽
196,스타일,캐주얼
196,category,티셔츠
196,texture,저지
196,print,무지
197,스타일,캐주얼
197,category,티셔츠
197,texture,니트
197,print,그래픽
198,스타일,컨템포러리
198,category,티셔츠
198,texture,저지
199,스타일,컨템포러리
199,category,블라우스
199,texture,저지
199,print,그래픽
200,스타일,캐주얼
200,category,티셔츠
200,detail,포켓
200,texture,니트
200,print,그래픽
201,스타일,캐주얼
201,category,티셔츠
201,texture,니트
201,print,무지
202,스타일,캐주얼
202,category,티셔츠
202,detail,슬릿
202,texture,니트
202,print,무지
203,스타일,컨템포러리
203,category,티셔츠
203,texture,저지
203,print,무지
204,스타일,캐주얼
204,category,티셔츠
204,texture,니트
204,print,무지
205,스타일,매니시
205,category,티셔츠
205,texture,저지
205,print,그래픽
206,스타일,캐주얼
206,category,팬츠
206,texture,저지
207,스타일,캐주얼
207,category,팬츠
207,detail,단추
207,texture,니트
207,print,무지
208,스타일,캐주얼
208,category,티셔츠
208,detail,스트링
208,texture,저지
209,스타일,컨템포러리
209,category,티셔츠
209,texture,저지
210,스타일,캐주얼
210,category,청바지
210,texture,저지
210,print,무지
211,스타일,캐주얼
211,category,티셔츠
211,texture,저지
212,스타일,젠더리스
212,category,티셔츠
212,texture,저지
212,print,무지
213,스타일,캐주얼
213,category,티셔츠
213,texture,니트
213,print,무지
214,스타일,캐주얼
214,category,티셔츠
214,texture,저지
214,print,무지
215,스타일,캐주얼
215,category,티셔츠
215,texture,니트
215,print,무지
216,스타일,캐주얼
216,category,티셔츠
216,texture,니트
216,print,무지
217,스타일,캐주얼
217,category,블라우스
217,texture,니트
218,스타일,캐주얼
218,category,티셔츠
218,texture,저지
218,print,무지
219,스타일,캐주얼
219,category,니트웨어
219,texture,우븐
219,print,체크
220,스타일,내추럴
220,category,티셔츠
220,texture,니트
220,print,무지
221,스타일,캐주얼
221,category,티셔츠
221,texture,니트
221,print,무지
222,스타일,컨템포러리
