의류 ID,속성 유형,속성 값
50,texture,우븐
51,스타일,캐주얼
51,category,드레스
51,texture,우븐
52,스타일,캐주얼
52,category,베스트
52,texture,우븐
52,print,무지
53,스타일,캐주얼
53,category,스커트
53,texture,우븐
54,스타일,컨템포러리
54,category,패딩
54,detail,띠
54,texture,우븐
54,print,무지
55,스타일,캐주얼
55,category,청바지
55,detail,포켓
55,texture,데님
55,print,무지
56,스타일,컨템포러리
56,category,재킷
56,detail,포켓
56,texture,우븐
56,print,무지
57,스타일,캐주얼
57,category,팬츠
57,texture,니트
57,print,무지
58,스타일,캐주얼
58,category,재킷
58,detail,단추
58,texture,니트
58,print,무지
59,스타일,페미니
59,category,팬츠
59,texture,니트
59,print,무지
6,스타일,캐주얼
6,category,셔츠
6,detail,단추
6,texture,우븐
6,print,무지
60,스타일,컨템포러리
60,category,스커트
60,detail,포켓
60,texture,울/캐시미어
60,print,무지
61,스타일,캐주얼
61,category,티셔츠
61,detail,포켓
61,texture,저지
61,print,무지
62,스타일,컨템포러리
62,category,재킷
62,texture,울/캐시미어
63,스타일,캐주얼
63,category,티셔츠
63,detail,단추
63,texture,저지
63,print,무지
64,스타일,컨템포러리
64,category,드레스
64,detail,포켓
64,texture,우븐
65,스타일,캐주얼
65,category,코트
65,texture,우븐
65,print,무지
66,스타일,페미니
66,category,드레스
66,texture,니트
67,스타일,페미니
67,category,팬츠
67,texture,저지
67,print,무지
68,스타일,컨템포러리
68,category,재킷
68,detail,단추
68,texture,우븐
68,print,무지
69,스타일,컨템포러리
69,category,티셔츠
69,detail,단추
69,texture,저지
69,print,무지
7,스타일,캐주얼
7,category,드레스
7,texture,우븐
7,print,무지
70,스타일,컨템포러리
70,category,재킷
70,texture,우븐
70,print,스트라이프
71,스타일,컨템포러리
71,category,코트
71,detail,단추
71,texture,우븐
71,print,무지
72,스타일,컨템포러리
72,category,티셔츠
72,detail,단추
72,texture,니트
72,print,무지
73,스타일,컨템포러리
73,category,코트
73,detail,단추
73,texture,니트
73,print,그래픽
74,스타일,캐주얼
74,category,청바지
74,detail,포켓
74,texture,데님
74,print,무지
75,스타일,컨템포러리
75,category,니트웨어
75,texture,니트
