file_id,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,style1,style2,style3
여성스커트\여성스커트_images_20240904_105421\326.jpg,-6.338436126708984,-5.722507476806641,-1.4248219728469849,-7.166979789733887,-4.805527210235596,-4.814169883728027,-6.567559242248535,-4.189725399017334,-1.6329002380371094,4.44136905670166,서브컬처,페미니,캐주얼
여성스커트\여성스커트_images_20240904_105421\327.jpg,1.2423564195632935,-3.663867473602295,-3.9377992153167725,-3.8832898139953613,2.5362939834594727,-3.1796178817749023,-5.008097171783447,-6.095434665679932,-4.916944980621338,-0.5509293079376221,캐주얼,클래식,컨템포러리
여성스커트\여성스커트_images_20240904_105421\328.jpg,-1.1491239070892334,-2.3451039791107178,-3.089672803878784,-2.921499013900757,-0.14906658232212067,-1.8434844017028809,-3.508464813232422,-5.608738422393799,-3.885009765625,0.5796360969543457,클래식,컨템포러리,캐주얼
여성스커트\여성스커트_images_20240904_105421\329.jpg,-5.829906463623047,-5.889667987823486,1.9316253662109375,-3.4067554473876953,-3.311293601989746,-3.4525070190429688,-6.514023303985596,-7.312925338745117,-4.254537582397461,1.0504374504089355,컨템포러리,캐주얼,페미니
여성스커트\여성스커트_images_20240904_105421\33.jpg,-0.09876501560211182,-4.631957530975342,-1.4772684574127197,-1.8505076169967651,1.137542486190796,-2.9542951583862305,-4.444788932800293,-6.193095684051514,-1.8463566303253174,0.04974198341369629,클래식,캐주얼,컨템포러리
여성스커트\여성스커트_images_20240904_105421\330.jpg,-0.49038898944854736,-2.1678175926208496,-2.58375883102417,-8.99533462524414,-1.5602024793624878,-6.094093322753906,-5.230373382568359,-6.257479190826416,-1.1835591793060303,3.612595796585083,서브컬처,클래식,캐주얼
여성스커트\여성스커트_images_20240904_105421\331.jpg,-35.86890411376953,-29.972454071044922,-24.449983596801758,-13.970367431640625,-6.542688369750977,-7.7743072509765625,-18.123764038085938,-64.7916259765625,-15.986494064331055,14.235040664672852,내추럴,컨템포러리,캐주얼
여성스커트\여성스커트_images_20240904_105421\332.jpg,-3.8427858352661133,-5.39359712600708,-3.688370704650879,-1.9798263311386108,-3.8486924171447754,0.5505884289741516,-6.647331237792969,-8.20804500579834,-3.09659743309021,4.473260402679443,에스닉,내추럴,캐주얼
여성스커트\여성스커트_images_20240904_105421\333.jpg,-2.960939645767212,-3.1287343502044678,-4.3063645362854,-6.758515357971191,0.2199515551328659,0.3487679362297058,-6.333977699279785,-7.5315046310424805,-5.367323875427246,-1.4380161762237549,캐주얼,컨템포러리,내추럴
여성스커트\여성스커트_images_20240904_105421\334.jpg,-5.665108680725098,-12.710318565368652,-2.896575450897217,-7.1480536460876465,1.4339913129806519,-5.090644836425781,-9.642337799072266,-16.027284622192383,-3.8841447830200195,6.586252212524414,페미니,컨템포러리,캐주얼
