?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분,대분류,년,월,주차,복종,넘버
113,2024-01-16,직영점,A0020,부산모라점(직),4,정상,일반판매,AKK3PT002,C-더치골덴통바지(기모),CH,챠콜,L,판매,의류,2023,11월,3,바지,002
114,2024-01-17,직영점,A0020,부산모라점(직),1,정상,일반판매,AJL7KT002,포인반목니트,BE,베이지,F,판매,의류,2022,12월,7,니트,002
115,2024-01-17,직영점,A0020,부산모라점(직),1,정상,일반판매,AKK7KT023,J-레인보우니트조끼,GR,회색,F,판매,의류,2023,11월,7,니트,023
116,2024-01-17,직영점,A0020,부산모라점(직),1,기획,일반판매,AKK7TS002,P-폴라기모T,BK,블랙,F,판매,의류,2023,11월,7,티셔츠,002
117,2024-01-17,직영점,A0020,부산모라점(직),2,기획,일반판매,AKK7JP012,P-벨티드덕다운패딩,KH,카키,L,판매,의류,2023,11월,7,점퍼,012
118,2024-01-17,직영점,A0020,부산모라점(직),2,정상,일반판매,AJL3PT034,S-융기모부츠컷,BR,브라운,M,판매,의류,2022,12월,3,바지,034
119,2024-01-17,직영점,A0020,부산모라점(직),2,정상,일반판매,AKK3KT003,S-어깨버튼니트,CR,크림,F,판매,의류,2023,11월,3,니트,003
120,2024-01-17,직영점,A0020,부산모라점(직),3,기획,일반판매,AKL7KT003,P-로제폴라니트,IV,아이보리,F,판매,의류,2023,12월,7,니트,003
121,2024-01-17,직영점,A0020,부산모라점(직),4,정상,일반판매,AIL3DP004,S-B831기모B,DL,진청,M,판매,의류,2021,12월,3,데님,004
122,2024-01-17,직영점,A0020,부산모라점(직),5,정상,일반판매,AJL7KT002,포인반목니트,BE,베이지,F,반품,의류,2022,12월,7,니트,002
123,2024-01-17,직영점,A0020,부산모라점(직),5,정상,일반판매,AKK7KT023,J-레인보우니트조끼,GR,회색,F,반품,의류,2023,11월,7,니트,023
124,2024-01-17,직영점,A0020,부산모라점(직),5,기획,일반판매,AKK7TS002,P-폴라기모T,BK,블랙,F,반품,의류,2023,11월,7,티셔츠,002
125,2024-01-17,직영점,A0020,부산모라점(직),6,기획,일반판매,AKK7TS002,P-폴라기모T,BK,블랙,F,판매,의류,2023,11월,7,티셔츠,002
126,2024-01-17,직영점,A0020,부산모라점(직),7,정상,일반판매,AJK3VT004,C-로제경량조끼,BK,블랙,F,판매,의류,2022,11월,3,베스트,004
127,2024-01-18,직영점,A0020,부산모라점(직),1,정상,일반판매,AKL7KT020,P3-크로스폴라니트,GR,회색,F,판매,의류,2023,12월,7,니트,020
128,2024-01-18,직영점,A0020,부산모라점(직),1,정상,일반판매,BKI7BG007,패치크로스백,BK,블랙,F,판매,잡화,2023,9월,7,가방,007
129,2024-01-18,직영점,A0020,부산모라점(직),1,정상,일반판매,BKL7BG002,J-골든백팩,BK,블랙,F,판매,잡화,2023,12월,7,가방,002
130,2024-01-18,직영점,A0020,부산모라점(직),2,기획,일반판매,AKJ7TS001,J-베이직폴라T,DB,다크베이지,F,판매,의류,2023,10월,7,티셔츠,001
131,2024-01-18,직영점,A0020,부산모라점(직),3,정상,일반판매,AKL3KT004,S-분홍꽃KT,GR,회색,F,판매,의류,2023,12월,3,니트,004
132,2024-01-18,직영점,A0020,부산모라점(직),3,정상,일반판매,AKK7KT023,J-레인보우니트조끼,GR,회색,F,판매,의류,2023,11월,7,니트,023
133,2024-01-18,직영점,A0020,부산모라점(직),4,정상,일반판매,AKL7KT017,P3-셀폴라니트,GR,회색,F,판매,의류,2023,12월,7,니트,017
134,2024-01-19,직영점,A0020,부산모라점(직),1,정상,일반판매,AJL3PT034,S-융기모부츠컷,BE,베이지,L,판매,의류,2022,12월,3,바지,034
135,2024-01-19,직영점,A0020,부산모라점(직),2,정상,일반판매,AJK7KT009,진주하트니트,GE,그린,F,판매,의류,2022,11월,7,니트,009
136,2024-01-19,직영점,A0020,부산모라점(직),3,정상,일반판매,AIL7KT003,나그랑골반목KT,OR,오렌지,F,판매,의류,2021,12월,7,니트,003
137,2024-01-19,직영점,A0020,부산모라점(직),3,정상,일반판매,AKK3DP001,C-다비기모통데님,DL,진청,L,판매,의류,2023,11월,3,데님,001
138,2024-01-19,직영점,A0020,부산모라점(직),3,기획,일반판매,AKL7PT002,P-버클부츠컷슬랙스,BK,블랙,L,판매,의류,2023,12월,7,바지,002
139,2024-01-19,직영점,A0020,부산모라점(직),4,정상,일반판매,AKK7VT002,J-로티덕다운조끼,BK,블랙,F,판매,의류,2023,11월,7,베스트,002
140,2024-01-19,직영점,A0020,부산모라점(직),5,정상,일반판매,AKI7JP016,J-하트니트후드집업,BR,브라운,F,판매,의류,2023,9월,7,점퍼,016
141,2024-01-19,직영점,A0020,부산모라점(직),6,기획,일반판매,AKL7KT003,P-로제폴라니트,RE,레드,F,판매,의류,2023,12월,7,니트,003
142,2024-01-19,직영점,A0020,부산모라점(직),7,정상,일반판매,AKI7JP011,J-스티치니트집업,KH,카키,F,판매,의류,2023,9월,7,점퍼,011
143,2024-01-19,직영점,A0020,부산모라점(직),7,기획,일반판매,AKL7PT001,P-미우밴딩팬츠,BR,브라운,XL,판매,의류,2023,12월,7,바지,001
144,2024-01-19,직영점,A0020,부산모라점(직),7,정상,일반판매,AJK7KT009,진주하트니트,GE,그린,F,판매,의류,2022,11월,7,니트,009
145,2024-01-19,직영점,A0020,부산모라점(직),8,정상,일반판매,AEH1TS301,젠 실켓모달 드레이퍼리 티셔츠,CG,차콜그레이,M,판매,의류,2017,8월,1,티셔츠,301
146,2024-01-19,직영점,A0020,부산모라점(직),9,정상,일반판매,AEH1TS301,젠 실켓모달 드레이퍼리 티셔츠,CG,차콜그레이,M,판매,의류,2017,8월,1,티셔츠,301
147,2024-01-19,직영점,A0020,부산모라점(직),9,정상,일반판매,AEH1TS301,젠 실켓모달 드레이퍼리 티셔츠,CG,차콜그레이,L,판매,의류,2017,8월,1,티셔츠,301
148,2024-01-19,직영점,A0020,부산모라점(직),10,정상,일반판매,AKJ7VT004,J-포켓덕다운조끼,PK,핑크,F,판매,의류,2023,10월,7,베스트,004
149,2024-01-19,직영점,A0020,부산모라점(직),11,정상,일반판매,AKJ7JP007,J-퍼즐덕다운점퍼,BE,베이지,F,판매,의류,2023,10월,7,점퍼,007
150,2024-01-19,직영점,A0020,부산모라점(직),12,정상,일반판매,BJK3MF002,폴라어깨숄,BK,블랙,F,판매,잡화,2022,11월,3,머플러,002
151,2024-01-19,직영점,A0020,부산모라점(직),12,기획,일반판매,AKJ7TS001,J-베이직폴라T,DB,다크베이지,F,판매,의류,2023,10월,7,티셔츠,001
152,2024-01-19,직영점,A0020,부산모라점(직),12,기획,일반판매,AKK7TS002,P-폴라기모T,MO,모카,F,판매,의류,2023,11월,7,티셔츠,002
153,2024-01-19,직영점,A0020,부산모라점(직),12,정상,일반판매,AJK7KT011,하트소녀니트,IV,아이보리,F,판매,의류,2022,11월,7,니트,011
154,2024-01-19,직영점,A0020,부산모라점(직),13,정상,일반판매,AJL3TS022,C-나비자수기모맨투맨,GR,회색,F,판매,의류,2022,12월,3,티셔츠,022
155,2024-01-19,직영점,A0020,부산모라점(직),14,정상,일반판매,AKJ7KT006,J-비비드폴라니트,PP,퍼플,F,판매,의류,2023,10월,7,니트,006
156,2024-01-20,직영점,A0020,부산모라점(직),1,정상,일반판매,AKL7PT003,P3-누빔조거팬츠,BK,블랙,F,판매,의류,2023,12월,7,바지,003
157,2024-01-20,직영점,A0020,부산모라점(직),1,정상,일반판매,AKL7KT014,J-캣골지폴라니트,BE,베이지,F,판매,의류,2023,12월,7,니트,014
158,2024-01-20,직영점,A0020,부산모라점(직),1,정상,일반판매,AKL7JP018,P3-오렌지덕다운패딩,OR,오렌지,F,판매,의류,2023,12월,7,점퍼,018
159,2024-01-20,직영점,A0020,부산모라점(직),2,정상,일반판매,AEK1TS501,언발란스 슬림 짚업티셔츠,GR,회색,S,판매,의류,2017,11월,1,티셔츠,501
160,2024-01-20,직영점,A0020,부산모라점(직),2,정상,일반판매,BKI4SC006,웨이브삭스(2pcs),XX,XX,F,판매,잡화,2023,9월,4,양말,006
161,2024-01-20,직영점,A0020,부산모라점(직),3,정상,일반판매,AKK7KT023,J-레인보우니트조끼,GR,회색,F,판매,의류,2023,11월,7,니트,023
162,2024-01-20,직영점,A0020,부산모라점(직),3,정상,일반판매,AJJ7VT003,냥포켓니트조끼,BL,블루,F,판매,의류,2022,10월,7,베스트,003
163,2024-01-20,직영점,A0020,부산모라점(직),4,정상,일반판매,AKL7DP006,P3-기모일자통데님,DL,진청,M,판매,의류,2023,12월,7,데님,006
