?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분,대분류,년,월,주차,복종,넘버
92,2024-01-25,직영점,A0070,부산만덕점(직),1,정상,일반판매,AEK1OP601,포켓 롱 원피스,GR,회색,M,판매,의류,2017,11월,1,원피스,601
93,2024-01-26,직영점,A0070,부산만덕점(직),1,기획,일반판매,AKK7TS002,P-폴라기모T,BK,블랙,F,판매,의류,2023,11월,7,티셔츠,2
94,2024-01-26,직영점,A0070,부산만덕점(직),1,정상,일반판매,AKL7KT016,J-글리배색반폴니트,BE,베이지,F,판매,의류,2023,12월,7,니트,16
95,2024-01-29,직영점,A0070,부산만덕점(직),1,정상,일반판매,AKK3PT013,C-시보리골덴배기(기모),KH,카키,M,판매,의류,2023,11월,3,바지,13
96,2024-01-29,직영점,A0070,부산만덕점(직),1,정상,일반판매,AKL7JP019,P4-포켓장식덕다운,LG,연한그레이,F,판매,의류,2023,12월,7,점퍼,19
97,2024-01-29,직영점,A0070,부산만덕점(직),2,정상,일반판매,BKL7MF007,하운드니트고리,BK,블랙,F,판매,잡화,2023,12월,7,머플러,7
98,2024-01-29,직영점,A0070,부산만덕점(직),2,정상,일반판매,BKL7MF004,와플니트고리,GE,그린,F,판매,잡화,2023,12월,7,머플러,4
99,2024-01-29,직영점,A0070,부산만덕점(직),3,정상,일반판매,BJJ4CP001,니트볼캡,WN,와인,F,판매,잡화,2022,10월,4,모자,1
100,2024-01-29,직영점,A0070,부산만덕점(직),4,정상,일반판매,ALB3TS007,C-TCCRHN-베이직단가라티,IV,아이보리,F,판매,의류,2024,2월,3,티셔츠,7
101,2024-01-29,직영점,A0070,부산만덕점(직),4,정상,일반판매,ALB3TS007,C-TCCRHN-베이직단가라티,RE,레드,F,판매,의류,2024,2월,3,티셔츠,7
102,2024-01-29,직영점,A0070,부산만덕점(직),5,정상,일반판매,BKL7MF008,핸메퍼머플러,GR,회색,F,판매,잡화,2023,12월,7,머플러,8
103,2024-01-29,직영점,A0070,부산만덕점(직),5,정상,일반판매,BJK4CP002,방울니트챙,BE,베이지,F,판매,잡화,2022,11월,4,모자,2
104,2024-01-30,직영점,A0070,부산만덕점(직),1,정상,일반판매,AJK7TS003,오엠폴라티,WH,화이트,F,판매,의류,2022,11월,7,티셔츠,3
105,2024-01-30,직영점,A0070,부산만덕점(직),1,정상,일반판매,AJL7KT006,패치반폴KT,BK,블랙,F,판매,의류,2022,12월,7,니트,6
106,2024-02-01,직영점,A0070,부산만덕점(직),1,기획,일반판매,AKK7VT003,J-하이넥덕다운조끼,BR,브라운,F,판매,의류,2023,11월,7,베스트,3
107,2024-02-01,직영점,A0070,부산만덕점(직),2,정상,일반판매,AIJ3JP017,S-오브제이중카라,BR,브라운,F,판매,의류,2021,10월,3,점퍼,17
108,2024-02-01,직영점,A0070,부산만덕점(직),2,정상,일반판매,AKI3PT010,C-트라이앵글통바지,LB,연한베이지,L,판매,의류,2023,9월,3,바지,10
109,2024-02-01,직영점,A0070,부산만덕점(직),2,정상,일반판매,BKL4CP015,스카시베레모,PK,핑크,F,판매,잡화,2023,12월,4,모자,15
