?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분,대분류,년,월,주차,복종,넘버
148,2024-01-08,직영점,A0024,부산두실점(직),11,정상,일반판매,AKA3KT014,S-플라워비즈KT,GE,그린,F,판매,의류,2023,1월,3,니트,14
149,2024-01-08,직영점,A0024,부산두실점(직),12,정상,일반판매,AKK7KT014,J-스케치래빗니트,,네이비,F,판매,의류,2023,11월,7,니트,14
150,2024-01-08,직영점,A0024,부산두실점(직),13,정상,일반판매,AJL3OP005,C-레이스니트OPS,BK,블랙,F,판매,의류,2022,12월,3,원피스,5
151,2024-01-08,직영점,A0024,부산두실점(직),13,정상,일반판매,BKL7MF004,와플니트고리,GE,그린,F,판매,잡화,2023,12월,7,머플러,4
152,2024-01-08,직영점,A0024,부산두실점(직),13,정상,일반판매,AEJ1KN201,슬로베니아 니트케이프,BK,블랙,M,판매,의류,2017,10월,1,니트나시,201
153,2024-01-08,직영점,A0024,부산두실점(직),13,정상,일반판매,AJJ3PT014,S-아미배기,BK,블랙,F,판매,의류,2022,10월,3,바지,14
154,2024-01-08,직영점,A0024,부산두실점(직),13,정상,일반판매,AKJ7KT001,J-심플라운드니트,IV,아이보리,F,판매,의류,2023,10월,7,니트,1
155,2024-01-08,직영점,A0024,부산두실점(직),13,정상,일반판매,AHA7OP001,옆단추OPS,BK,블랙,F,판매,의류,2020,1월,7,원피스,1
156,2024-01-08,직영점,A0024,부산두실점(직),13,정상,일반판매,BKL3CP002,펄링귀방울모자,PK,핑크,F,판매,잡화,2023,12월,3,모자,2
157,2024-01-08,직영점,A0024,부산두실점(직),13,정상,일반판매,BKL7MF001,모닝퍼머플러,BK,블랙,F,판매,잡화,2023,12월,7,머플러,1
158,2024-01-08,직영점,A0024,부산두실점(직),14,정상,일반판매,AKI7VT008,J-야옹포켓니트조끼,YE,옐로우,F,판매,의류,2023,9월,7,베스트,8
159,2024-01-08,직영점,A0024,부산두실점(직),15,정상,일반판매,AKK7KT023,J-레인보우니트조끼,GR,회색,F,판매,의류,2023,11월,7,니트,23
160,2024-01-08,직영점,A0024,부산두실점(직),16,정상,일반판매,AKK7KT017,J-루이폴라니트,PP,퍼플,F,판매,의류,2023,11월,7,니트,17
161,2024-01-09,직영점,A0024,부산두실점(직),1,기획,일반판매,AKL7KT003,P-로제폴라니트,IV,아이보리,F,판매,의류,2023,12월,7,니트,3
162,2024-01-09,직영점,A0024,부산두실점(직),2,정상,일반판매,ZA00CO002,아메리카노(음료),XX,XX,XX,판매,커피,2013,사계절,0,커피,2
163,2024-01-09,직영점,A0024,부산두실점(직),3,정상,일반판매,AGA3KT013,C-반폴언발,MT,민트,F,판매,의류,2019,1월,3,니트,13
164,2024-01-09,직영점,A0024,부산두실점(직),4,정상,일반판매,AKK7KT023,J-레인보우니트조끼,IV,아이보리,F,판매,의류,2023,11월,7,니트,23
165,2024-01-09,직영점,A0024,부산두실점(직),4,정상,일반판매,AKL7KT011,J-에어벌룬니트,,네이비,F,판매,의류,2023,12월,7,니트,11
