?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분,대분류,년,월,주차,복종,넘버
121,2024-01-12,직영점,A0086,부산구서점(직),1,정상,일반판매,AIL3PT019,S-올무지통PT,BR,브라운,M,판매,의류,2021,12월,3,바지,019
122,2024-01-12,직영점,A0086,부산구서점(직),2,정상,일반판매,AJA3JP005,S-레터링막스JP,IV,아이보리,F,반품,의류,2022,1월,3,점퍼,005
123,2024-01-12,직영점,A0086,부산구서점(직),2,정상,일반판매,AKK7VT002,J-로티덕다운조끼,BK,블랙,F,반품,의류,2023,11월,7,베스트,002
124,2024-01-12,직영점,A0086,부산구서점(직),3,정상,일반판매,AJA3JP005,S-레터링막스JP,IV,아이보리,F,판매,의류,2022,1월,3,점퍼,005
125,2024-01-12,직영점,A0086,부산구서점(직),3,정상,일반판매,AKK7VT002,J-로티덕다운조끼,BK,블랙,F,판매,의류,2023,11월,7,베스트,002
126,2024-01-12,직영점,A0086,부산구서점(직),4,정상,일반판매,AKI7KT017,J-로엔카라니트,OL,올리브,F,판매,의류,2023,9월,7,니트,017
127,2024-01-12,직영점,A0086,부산구서점(직),4,정상,일반판매,AEH1SK101,르니 디바이디드 스커트팬츠,BK,블랙,L,판매,의류,2017,8월,1,스커트,101
128,2024-01-12,직영점,A0086,부산구서점(직),5,정상,일반판매,AKL3JP011,S-뒷주름퍼JP,BK,블랙,F,판매,의류,2023,12월,3,점퍼,011
129,2024-01-12,직영점,A0086,부산구서점(직),6,정상,일반판매,AKK7SK003,J-소피니트스커트,BK,블랙,F,판매,의류,2023,11월,7,스커트,003
130,2024-01-13,직영점,A0086,부산구서점(직),1,정상,일반판매,AKL3PT006,C-올리기모와이드슬랙스,BE,베이지,L,판매,의류,2023,12월,3,바지,006
131,2024-01-13,직영점,A0086,부산구서점(직),2,기획,일반판매,AKK7KT027,P-뒷트임단니트,PP,퍼플,F,판매,의류,2023,11월,7,니트,027
132,2024-01-13,직영점,A0086,부산구서점(직),3,정상,일반판매,AKL7KT015,J-눈꽃소녀니트,BE,베이지,F,판매,의류,2023,12월,7,니트,015
133,2024-01-13,직영점,A0086,부산구서점(직),4,정상,일반판매,AKK3KT003,S-어깨버튼니트,CR,크림,F,판매,의류,2023,11월,3,니트,003
134,2024-01-13,직영점,A0086,부산구서점(직),4,기획,일반판매,AKK7VT003,J-하이넥덕다운조끼,BR,브라운,F,판매,의류,2023,11월,7,베스트,003
135,2024-01-13,직영점,A0086,부산구서점(직),5,정상,일반판매,AKK7KT020,J-하이캣자수니트,GR,회색,F,판매,의류,2023,11월,7,니트,020
136,2024-01-13,직영점,A0086,부산구서점(직),5,정상,일반판매,AHK3VT007,Q-주머니삔줄조끼,BE,베이지,F,판매,의류,2020,11월,3,베스트,007
137,2024-01-13,직영점,A0086,부산구서점(직),6,정상,일반판매,AKJ7JP013,J-카라덕다운점퍼,BK,블랙,F,판매,의류,2023,10월,7,점퍼,013
138,2024-01-13,직영점,A0086,부산구서점(직),7,정상,일반판매,AKL7KT020,P3-크로스폴라니트,GR,회색,F,판매,의류,2023,12월,7,니트,020
139,2024-01-13,직영점,A0086,부산구서점(직),8,정상,일반판매,AKL3KT004,S-분홍꽃KT,GR,회색,F,판매,의류,2023,12월,3,니트,004
140,2024-01-13,직영점,A0086,부산구서점(직),9,기획,일반판매,AKL7PT001,P-미우밴딩팬츠,BR,브라운,M,판매,의류,2023,12월,7,바지,001
141,2024-01-13,직영점,A0086,부산구서점(직),9,기획,일반판매,AKK7JP006,J-삥줄포인덕다운점퍼,BE,베이지,F,판매,의류,2023,11월,7,점퍼,006
142,2024-01-13,직영점,A0086,부산구서점(직),9,정상,일반판매,AKL7KT017,P3-셀폴라니트,GR,회색,F,판매,의류,2023,12월,7,니트,017
143,2024-01-15,직영점,A0086,부산구서점(직),1,기획,일반판매,AKL7KT003,P-로제폴라니트,BK,블랙,F,판매,의류,2023,12월,7,니트,003
144,2024-01-15,직영점,A0086,부산구서점(직),1,정상,일반판매,AKK3KT002,C-살롱반폴니트,BK,블랙,F,판매,의류,2023,11월,3,니트,002
145,2024-01-15,직영점,A0086,부산구서점(직),1,정상,일반판매,AKJ7KT001,J-심플라운드니트,BK,블랙,F,판매,의류,2023,10월,7,니트,001
146,2024-01-15,직영점,A0086,부산구서점(직),1,정상,일반판매,AKL7JP003,P-니트카라덕다운,IV,아이보리,F,판매,의류,2023,12월,7,점퍼,003
147,2024-01-15,직영점,A0086,부산구서점(직),2,정상,일반판매,AKJ7JP013,J-카라덕다운점퍼,BK,블랙,F,반품,의류,2023,10월,7,점퍼,013
148,2024-01-15,직영점,A0086,부산구서점(직),3,정상,일반판매,AKL7KT015,J-눈꽃소녀니트,,네이비,F,판매,의류,2023,12월,7,니트,015
149,2024-01-15,직영점,A0086,부산구서점(직),4,정상,일반판매,AKK7KT017,J-루이폴라니트,BE,베이지,F,판매,의류,2023,11월,7,니트,017
150,2024-01-15,직영점,A0086,부산구서점(직),4,정상,일반판매,AKL7KT016,J-글리배색반폴니트,GR,회색,F,판매,의류,2023,12월,7,니트,016
151,2024-01-15,직영점,A0086,부산구서점(직),4,정상,일반판매,AKL7KT016,J-글리배색반폴니트,BE,베이지,F,판매,의류,2023,12월,7,니트,016
152,2024-01-15,직영점,A0086,부산구서점(직),4,기획,일반판매,AKL7PT001,P-미우밴딩팬츠,BR,브라운,S,판매,의류,2023,12월,7,바지,001
153,2024-01-15,직영점,A0086,부산구서점(직),4,정상,일반판매,AKK3PT015,C-윈디울부츠컷,CH,챠콜,F,판매,의류,2023,11월,3,바지,015
154,2024-01-15,직영점,A0086,부산구서점(직),4,정상,일반판매,AKJ7JP013,J-카라덕다운점퍼,BE,베이지,F,판매,의류,2023,10월,7,점퍼,013
155,2024-01-15,직영점,A0086,부산구서점(직),5,정상,일반판매,AKK3DP004,C-제리기모와이드데님,ML,중청,L,판매,의류,2023,11월,3,데님,004
156,2024-01-16,직영점,A0086,부산구서점(직),1,정상,일반판매,AKL7KT017,P3-셀폴라니트,GR,회색,F,판매,의류,2023,12월,7,니트,017
157,2024-01-16,직영점,A0086,부산구서점(직),1,정상,일반판매,AKK3DP002,C-페이기모통데님,DL,진청,M,판매,의류,2023,11월,3,데님,002
158,2024-01-16,직영점,A0086,부산구서점(직),1,정상,일반판매,AKK3PT017,C-헤링뒷밴딩슬랙스,BE,베이지,F,판매,의류,2023,11월,3,바지,017
159,2024-01-16,직영점,A0086,부산구서점(직),1,정상,일반판매,AKL7KT007,J-삼색단니트,PP,퍼플,F,판매,의류,2023,12월,7,니트,007
160,2024-01-16,직영점,A0086,부산구서점(직),1,정상,일반판매,AJL3KT001,C-컬러큐브니트,GE,그린,F,판매,의류,2022,12월,3,니트,001
161,2024-01-16,직영점,A0086,부산구서점(직),1,정상,일반판매,AKL3PT006,C-올리기모와이드슬랙스,BK,블랙,F,판매,의류,2023,12월,3,바지,006
162,2024-01-16,직영점,A0086,부산구서점(직),2,기획,일반판매,AKL7PT001,P-미우밴딩팬츠,BR,브라운,S,판매,의류,2023,12월,7,바지,001
163,2024-01-16,직영점,A0086,부산구서점(직),3,정상,일반판매,AKK7KT017,J-루이폴라니트,BE,베이지,F,반품,의류,2023,11월,7,니트,017
