상품코드,상품명,사이즈,판매금액,MappedValue,년도,월
AGD3TS005,M-룰T,Free,23000,티셔츠,2019,4월 1일
AFK7KT005,C-플라워레이스니트,Free,43000,니트,2018,11월 1일
AHF3PT006,M-011면부츠컷,S,39000,바지,2020,6월 1일
AEL7KN816,찡롱니트,Free,39000,니트나시,2017,12월 1일
AEJ5PT002,미샤#,Free,39000,바지,2017,10월 1일
AIG3PT019,S-NC끈통SL,Free,23000,바지,2021,7월 1일
AEL5JP003,밍크후드JK,Free,59000,점퍼,2017,12월 1일
AEJ2PT401,쿠라쿠 패치워크 큐롯,M,19000,바지,2017,10월 1일
AFA2VT305,손정완포켓조끼,Free,69000,베스트,2018,1월 1일
AFA2VT306,구호V조끼,Free,59000,베스트,2018,1월 1일
AEH1TS301,젠 실켓모달 드레이퍼리 티셔츠,L,19000,티셔츠,2017,8월 1일
AEH2TS501,아르웬 페미닌 티셔츠,L,19000,티셔츠,2017,8월 1일
AIF3TS036,Q-토이T,Free,13900,티셔츠,2021,6월 1일
AEF1JK002,데무망사JK,L,59500,자켓,2017,6월 1일
AEF8JP018,723 진주바람막이,Free,24500,점퍼,2017,6월 1일
AFA2TS103,포켓포인트티,Free,33000,티셔츠,2018,1월 1일
AEH2JP501,아트스포티 코튼린넨 짚업점퍼자켓,L,29000,점퍼,2017,8월 1일
AFE4WS702,타이남방,Free,14500,남방,2018,5월 1일
AEJ5KT001,클래식반폴라,Free,19000,니트,2017,10월 1일
AFJ1JK001,F-하운즈투스JK,Free,129000,자켓,2018,10월 1일
AEK5KT006,밍크,Free,29000,니트,2017,11월 1일
AEK5PT007,ITY기모,M,23000,바지,2017,11월 1일
AEL7KN818,어깨포인트롱니트,Free,55300,니트나시,2017,12월 1일
AFI3CT001,A-타임벨트,Free,89500,코트,2018,9월 1일
AHE3OP048,Q-3546민소매OP,Free,34300,원피스,2020,5월 1일
AFE4ST302,코로나세트(반팔통),Free,19000,세트,2018,5월 1일
AGE7SK003,레이스플레어SK,Free,29000,스커트,2019,5월 1일
AFE2PT301,핀탁7부,Free,34500,바지,2018,5월 1일
AFK3JP014,C-지퍼롱모자,Free,69000,점퍼,2018,11월 1일
AFH3PT036,C-마끈반바지,L,43000,바지,2018,8월 1일
AEL5TS005,코데즈,Free,29000,티셔츠,2017,12월 1일
AEH2CA601,도로시 니트 롱가디건,Free,29000,가디건,2017,8월 1일
AFJ3CA005,C-랍빠가디건,Free,69000,가디건,2018,10월 1일
AEF8BL015,802 프린트BL,Free,9500,블라우스,2017,6월 1일
AFK7KT001,C-플라워소매니트,Free,49000,니트,2018,11월 1일
AEL7KN815,뿌리깊은나무,Free,41300,니트나시,2017,12월 1일
AEI2CA601,마리앤 자수코튼 가디건,L,49000,가디건,2017,9월 1일
AFI3JP001,A-샤이니야상,Free,94500,점퍼,2018,9월 1일
AFI1BL002,C-레인보우BL,L,29500,블라우스,2018,9월 1일
AIF3BL002,S-다이아몬드BL,Free,83000,블라우스,2021,6월 1일
AFA2PT303,오비일자619,L,49000,바지,2018,1월 1일
AFI3BL013,C-3단배색BL,Free,19500,블라우스,2018,9월 1일
AIG3OP020,S-지그재그OPS,Free,99000,원피스,2021,7월 1일
AFA2TS701,하트라인T,Free,29000,티셔츠,2018,1월 1일
AGD7TS008,시소절개,Free,23000,티셔츠,2019,4월 1일
AFI1PT001,A-실켓PT,L,24500,바지,2018,9월 1일
AEJ5TS006,ST리본,Free,29000,티셔츠,2017,10월 1일
AGE3BL002,M-라우린,Free,89000,블라우스,2019,5월 1일
AFA2BL327,스카프BL,Free,59000,블라우스,2018,1월 1일
AEE1PT015,크림통,M,24500,바지,2017,5월 1일
AFA2TS702,트임언발,Free,29000,티셔츠,2018,1월 1일
AFA2OP310,1847OPS,Free,46000,원피스,2018,1월 1일
AFA2KT302,8211,Free,33000,니트,2018,1월 1일
AEH1JP301,미카 데콜데 넥 블루종 점퍼,L,29000,점퍼,2017,8월 1일
AEI2MF005,제니스 비스코스 울 쇼울,Free,29000,머플러,2017,9월 1일
AEJ1CT401,스톡홀름 코튼레더 점퍼 자켓,L,59000,코트,2017,10월 1일
AEI2CT201,리폴 데님자수 페미닌 트렌치코트,M,79000,코트,2017,9월 1일
AFJ3OP018,A-막스니트OPS,Free,149000,원피스,2018,10월 1일
AIF3TS046,S-시계나염T,Free,33000,티셔츠,2021,6월 1일
AFA2TS339,메르시,Free,23000,티셔츠,2018,1월 1일
AFJ3JK011,F-라운드레더JK,Free,89000,자켓,2018,10월 1일
AFJ3TS028,A-사각꽃,Free,63000,티셔츠,2018,10월 1일
AFA2KT714,벌룬소메,Free,49000,니트,2018,1월 1일
AFE1PT301,R기획통바지,L,29000,바지,2018,5월 1일
ADL7JP005,150747폭스퍼방울JP(SP),Free,83700,점퍼,2016,12월 1일
AFA2ST301,소프트SET,Free,49000,세트,2018,1월 1일
AFE1TS303,박스단T,Free,19000,티셔츠,2018,5월 1일
AFE3BL310,R마르니BL,Free,79000,블라우스,2018,5월 1일
AEK1BL101,샤기 니트 풀오버,M,19000,블라우스,2017,11월 1일
AEI2PT601,볼로냐 와이드 팬츠,S,19000,바지,2017,9월 1일
AEH1CA301,젠 드레이퍼리 드레스가디건,L,29000,가디건,2017,8월 1일
AFA1WS103,베이직스판NB,L,16500,남방,2018,1월 1일
AFA2BL318,1718,Free,33000,블라우스,2018,1월 1일
AEJ5VT003,레니본조끼,Free,19500,베스트,2017,10월 1일
AEH1BL101,스트라이프 오간자 모던블라우스,Free,10000,블라우스,2017,8월 1일
AHH3TS011,L-캉캉레이스소매,Free,27300,티셔츠,2020,8월 1일
AEJ5PT003,타임통PT,Free,39000,바지,2017,10월 1일
AEJ6KT001,알렉산더V,Free,30100,니트,2017,10월 1일
AGD7BL007,면레이스BL,Free,29000,블라우스,2019,4월 1일
AFI3PT006,C-버버리,Free,49000,바지,2018,9월 1일
AEK1CT301,젠 무스탕 코트,Free,59000,코트,2017,11월 1일
AEK1JP401,미카 후드 짚업점퍼,L,49000,점퍼,2017,11월 1일
AFE1VT301,밑단쉬폰조끼,Free,39000,베스트,2018,5월 1일
AED8BL032,651 깃털BL,Free,19500,블라우스,2017,4월 1일
AEI1SK301,테레 캉캉스커트,L,19000,스커트,2017,9월 1일
AFA2DP301,심포니부츠컷,M,59000,데님,2018,1월 1일
AEH1SK602,디어걸 티어드 드레스스커트,M,29000,스커트,2017,8월 1일
AFE1TS305,데끼진주,Free,59000,티셔츠,2018,5월 1일
AFE5OP301,나염OPS,Free,33000,원피스,2018,5월 1일
AEG8SK003,823 공작SKT,Free,14500,스커트,2017,7월 1일
AFE2TS715,시티롱T,Free,20300,티셔츠,2018,5월 1일
AFH3TS005,A-실켓레이V,Free,43000,티셔츠,2018,8월 1일
AFI3PT005,A-타임#,S,44100,바지,2018,9월 1일
AEK1CT405,모던 모리 코트,Free,79500,코트,2017,11월 1일
AEI2CT401,시애나 야상점퍼 자켓,S,10000,코트,2017,9월 1일
AIG3ST005,S-피그레인SET,Free,49000,세트,2021,7월 1일
AFK7KT007,C-플라워테슬니트,Free,43000,니트,2018,11월 1일
AFA2TS302,모네타배색T,M,39000,티셔츠,2018,1월 1일
AEK5WS002,캐시줄NB,Free,19000,남방,2017,11월 1일
AFA2CT308,모스트BBY,Free,119000,코트,2018,1월 1일
AIF3TS049,S-달리트T,Free,19000,티셔츠,2021,6월 1일
AEI2SK402,나탈리 코튼 머메이드스커트,M,19000,스커트,2017,9월 1일
AFA2KT702,무지라운드T,Free,29000,니트,2018,1월 1일
AFA2TS705,레이스세트T,Free,49000,티셔츠,2018,1월 1일
AEL5KT002,띠어리폴라,Free,39000,니트,2017,12월 1일
AEJ1CT501,헌팅턴 라글란 스포티 코트,M,49000,코트,2017,10월 1일
AFA2KT711,LOVE반목니트,Free,16500,니트,2018,1월 1일
AEK5KT012,앞판자수,Free,19000,니트,2017,11월 1일
AFA2TS330,셔링반폴라TS,Free,39000,티셔츠,2018,1월 1일
AFA2DP304,청-슬림일자821,M,63000,데님,2018,1월 1일
AFI3BL017,F-페이즐BL,Free,39500,블라우스,2018,9월 1일
AEI2OP301,아게다 터틀넥 원피스,L,29000,원피스,2017,9월 1일
AEL5OP001,주머니P.OPS,Free,59000,원피스,2017,12월 1일
AFI1JP003,C-테잎항공점퍼,Free,44500,점퍼,2018,9월 1일
AFE5BL705,시스루꽃BL,Free,19500,블라우스,2018,5월 1일
